timepoint	cohort	sample	peptide	count
t1	resilient	R.13	lcl|c239376_g2_i9|m.25696	0
t1	resilient	R.21	lcl|c239376_g2_i9|m.25696	0
t1	resilient	R.26	lcl|c239376_g2_i9|m.25696	12
t1	resilient	R.66	lcl|c239376_g2_i9|m.25696	0
t1	resilient	R.74	lcl|c239376_g2_i9|m.25696	0
t1	susceptible	S.5	lcl|c239376_g2_i9|m.25696	0
t1	susceptible	S.20	lcl|c239376_g2_i9|m.25696	0
t1	susceptible	S.25	lcl|c239376_g2_i9|m.25696	0
t1	susceptible	S.28	lcl|c239376_g2_i9|m.25696	0
t1	susceptible	S.55	lcl|c239376_g2_i9|m.25696	0
t1	susceptible	S.73	lcl|c239376_g2_i9|m.25696	0
t1	resilient	R.10	lcl|c233495_g1_i1|m.18614	11
t1	resilient	R.13	lcl|c233495_g1_i1|m.18614	8
t1	resilient	R.21	lcl|c233495_g1_i1|m.18614	1
t1	resilient	R.26	lcl|c233495_g1_i1|m.18614	0
t1	resilient	R.66	lcl|c233495_g1_i1|m.18614	0
t1	resilient	R.74	lcl|c233495_g1_i1|m.18614	0
t1	susceptible	S.5	lcl|c233495_g1_i1|m.18614	0
t1	susceptible	S.20	lcl|c233495_g1_i1|m.18614	0
t1	susceptible	S.25	lcl|c233495_g1_i1|m.18614	3
t1	susceptible	S.28	lcl|c233495_g1_i1|m.18614	0
t1	susceptible	S.55	lcl|c233495_g1_i1|m.18614	2
t1	susceptible	S.73	lcl|c233495_g1_i1|m.18614	1
t1	resilient	R.10	lcl|c231808_g9_i1|m.16644	1
t1	resilient	R.13	lcl|c231808_g9_i1|m.16644	1
t1	resilient	R.21	lcl|c231808_g9_i1|m.16644	7
t1	resilient	R.26	lcl|c231808_g9_i1|m.16644	3
t1	resilient	R.66	lcl|c231808_g9_i1|m.16644	0
t1	resilient	R.74	lcl|c231808_g9_i1|m.16644	5
t1	susceptible	S.5	lcl|c231808_g9_i1|m.16644	1
t1	susceptible	S.20	lcl|c231808_g9_i1|m.16644	1
t1	susceptible	S.25	lcl|c231808_g9_i1|m.16644	1
t1	susceptible	S.28	lcl|c231808_g9_i1|m.16644	0
t1	susceptible	S.55	lcl|c231808_g9_i1|m.16644	2
t1	susceptible	S.73	lcl|c231808_g9_i1|m.16644	0
t1	resilient	R.10	lcl|c233679_g3_i13|m.18855	2
t1	resilient	R.13	lcl|c233679_g3_i13|m.18855	11
t1	resilient	R.21	lcl|c233679_g3_i13|m.18855	0
t1	resilient	R.26	lcl|c233679_g3_i13|m.18855	7
t1	resilient	R.66	lcl|c233679_g3_i13|m.18855	4
t1	resilient	R.74	lcl|c233679_g3_i13|m.18855	8
t1	susceptible	S.5	lcl|c233679_g3_i13|m.18855	0
t1	susceptible	S.20	lcl|c233679_g3_i13|m.18855	4
t1	susceptible	S.25	lcl|c233679_g3_i13|m.18855	1
t1	susceptible	S.28	lcl|c233679_g3_i13|m.18855	1
t1	susceptible	S.55	lcl|c233679_g3_i13|m.18855	3
t1	susceptible	S.73	lcl|c233679_g3_i13|m.18855	3
t1	resilient	R.10	lcl|c233495_g1_i4|m.18615	11
t1	resilient	R.13	lcl|c233495_g1_i4|m.18615	0
t1	resilient	R.21	lcl|c233495_g1_i4|m.18615	1
t1	resilient	R.26	lcl|c233495_g1_i4|m.18615	0
