timepoint	cohort	sample	peptide	count
t1	susceptible	S.28	lcl|c244235_g1_i2|m.31919	7
t1	susceptible	S.55	lcl|c244235_g1_i2|m.31919	8
t1	susceptible	S.73	lcl|c244235_g1_i2|m.31919	7
t1	resilient	R.10	lcl|c238320_g2_i8|m.24384	0
t1	resilient	R.13	lcl|c238320_g2_i8|m.24384	0
t1	resilient	R.21	lcl|c238320_g2_i8|m.24384	0
t1	resilient	R.26	lcl|c238320_g2_i8|m.24384	0
t1	resilient	R.66	lcl|c238320_g2_i8|m.24384	0
t1	resilient	R.74	lcl|c238320_g2_i8|m.24384	0
t1	susceptible	S.5	lcl|c238320_g2_i8|m.24384	0
t1	susceptible	S.20	lcl|c238320_g2_i8|m.24384	1
t1	susceptible	S.25	lcl|c238320_g2_i8|m.24384	0
t1	susceptible	S.28	lcl|c238320_g2_i8|m.24384	0
t1	susceptible	S.55	lcl|c238320_g2_i8|m.24384	0
t1	susceptible	S.73	lcl|c238320_g2_i8|m.24384	0
t1	resilient	R.10	lcl|c217773_g2_i1|m.5354	0
t1	resilient	R.13	lcl|c217773_g2_i1|m.5354	0
t1	resilient	R.21	lcl|c217773_g2_i1|m.5354	1
t1	resilient	R.26	lcl|c217773_g2_i1|m.5354	0
t1	resilient	R.66	lcl|c217773_g2_i1|m.5354	0
t1	resilient	R.74	lcl|c217773_g2_i1|m.5354	0
t1	susceptible	S.5	lcl|c217773_g2_i1|m.5354	0
t1	susceptible	S.20	lcl|c217773_g2_i1|m.5354	0
t1	susceptible	S.25	lcl|c217773_g2_i1|m.5354	0
t1	susceptible	S.28	lcl|c217773_g2_i1|m.5354	0
t1	susceptible	S.55	lcl|c217773_g2_i1|m.5354	0
t1	susceptible	S.73	lcl|c217773_g2_i1|m.5354	0
t1	resilient	R.10	lcl|c225983_g2_i10|m.11114	0
t1	resilient	R.13	lcl|c225983_g2_i10|m.11114	0
t1	resilient	R.21	lcl|c225983_g2_i10|m.11114	0
t1	resilient	R.26	lcl|c225983_g2_i10|m.11114	0
t1	resilient	R.66	lcl|c225983_g2_i10|m.11114	0
t1	resilient	R.74	lcl|c225983_g2_i10|m.11114	1
t1	susceptible	S.5	lcl|c225983_g2_i10|m.11114	0
t1	susceptible	S.20	lcl|c225983_g2_i10|m.11114	0
t1	susceptible	S.25	lcl|c225983_g2_i10|m.11114	0
t1	susceptible	S.28	lcl|c225983_g2_i10|m.11114	0
t1	susceptible	S.55	lcl|c225983_g2_i10|m.11114	0
t1	susceptible	S.73	lcl|c225983_g2_i10|m.11114	0
t1	resilient	R.10	lcl|c227282_g1_i10|m.12296	0
t1	resilient	R.13	lcl|c227282_g1_i10|m.12296	0
t1	resilient	R.21	lcl|c227282_g1_i10|m.12296	0
t1	resilient	R.26	lcl|c227282_g1_i10|m.12296	1
t1	resilient	R.66	lcl|c227282_g1_i10|m.12296	0
t1	resilient	R.74	lcl|c227282_g1_i10|m.12296	0
t1	susceptible	S.5	lcl|c227282_g1_i10|m.12296	0
t1	susceptible	S.20	lcl|c227282_g1_i10|m.12296	0
t1	susceptible	S.25	lcl|c227282_g1_i10|m.12296	0
t1	susceptible	S.28	lcl|c227282_g1_i10|m.12296	0
t1	susceptible	S.55	lcl|c227282_g1_i10|m.12296	1
t1	susceptible	S.73	lcl|c227282_g1_i10|m.12296	1
t1	resilient	R.10	lcl|c223078_g3_i2|m.8859	0
t1	resilient	R.13	lcl|c223078_g3_i2|m.8859	0
t1	resilient	R.21	lcl|c223078_g3_i2|m.8859	0
t1	resilient	R.26	lcl|c223078_g3_i2|m.8859	0
t1	resilient	R.66	lcl|c223078_g3_i2|m.8859	0
t1	resilient	R.74	lcl|c223078_g3_i2|m.8859	1
t1	susceptible	S.5	lcl|c223078_g3_i2|m.8859	0
t1	susceptible	S.20	lcl|c223078_g3_i2|m.8859	1
t1	susceptible	S.25	lcl|c223078_g3_i2|m.8859	1
t1	susceptible	S.28	lcl|c223078_g3_i2|m.8859	0
t1	susceptible	S.55	lcl|c223078_g3_i2|m.8859	0
t1	susceptible	S.73	lcl|c223078_g3_i2|m.8859	0
t1	resilient	R.10	lcl|c233474_g3_i1|m.18592	1
t1	resilient	R.13	lcl|c233474_g3_i1|m.18592	0
t1	resilient	R.21	lcl|c233474_g3_i1|m.18592	1
t1	resilient	R.26	lcl|c233474_g3_i1|m.18592	0
t1	resilient	R.66	lcl|c233474_g3_i1|m.18592	0
t1	resilient	R.74	lcl|c233474_g3_i1|m.18592	0
t1	susceptible	S.5	lcl|c233474_g3_i1|m.18592	1
t1	susceptible	S.20	lcl|c233474_g3_i1|m.18592	1
t1	susceptible	S.25	lcl|c233474_g3_i1|m.18592	0
t1	susceptible	S.28	lcl|c233474_g3_i1|m.18592	0
t1	susceptible	S.55	lcl|c233474_g3_i1|m.18592	0
t1	susceptible	S.73	lcl|c233474_g3_i1|m.18592	0
t1	resilient	R.10	lcl|c238048_g5_i2|m.24043	2
t1	resilient	R.13	lcl|c238048_g5_i2|m.24043	1
t1	resilient	R.21	lcl|c238048_g5_i2|m.24043	2
t1	resilient	R.26	lcl|c238048_g5_i2|m.24043	0
t1	resilient	R.66	lcl|c238048_g5_i2|m.24043	2
t1	resilient	R.74	lcl|c238048_g5_i2|m.24043	1
t1	susceptible	S.5	lcl|c238048_g5_i2|m.24043	1
t1	susceptible	S.20	lcl|c238048_g5_i2|m.24043	2
t1	susceptible	S.25	lcl|c238048_g5_i2|m.24043	1
t1	susceptible	S.28	lcl|c238048_g5_i2|m.24043	2
t1	susceptible	S.55	lcl|c238048_g5_i2|m.24043	2
t1	susceptible	S.73	lcl|c238048_g5_i2|m.24043	0
t1	resilient	R.10	lcl|c238537_g2_i6|m.24628	50
t1	resilient	R.13	lcl|c238537_g2_i6|m.24628	40
t1	resilient	R.21	lcl|c238537_g2_i6|m.24628	57
t1	resilient	R.26	lcl|c238537_g2_i6|m.24628	81
t1	resilient	R.66	lcl|c238537_g2_i6|m.24628	71
t1	resilient	R.74	lcl|c238537_g2_i6|m.24628	87
t1	susceptible	S.5	lcl|c238537_g2_i6|m.24628	62
t1	susceptible	S.20	lcl|c238537_g2_i6|m.24628	62
t1	susceptible	S.25	lcl|c238537_g2_i6|m.24628	60
t1	susceptible	S.28	lcl|c238537_g2_i6|m.24628	67
t1	susceptible	S.55	lcl|c238537_g2_i6|m.24628	75
t1	susceptible	S.73	lcl|c238537_g2_i6|m.24628	57
t1	resilient	R.10	lcl|c225871_g1_i1|m.11002	0
t1	resilient	R.13	lcl|c225871_g1_i1|m.11002	0
t1	resilient	R.21	lcl|c225871_g1_i1|m.11002	0
t1	resilient	R.26	lcl|c225871_g1_i1|m.11002	0
t1	resilient	R.66	lcl|c225871_g1_i1|m.11002	0
t1	resilient	R.74	lcl|c225871_g1_i1|m.11002	0
t1	susceptible	S.5	lcl|c225871_g1_i1|m.11002	0
t1	susceptible	S.20	lcl|c225871_g1_i1|m.11002	0
t1	susceptible	S.25	lcl|c225871_g1_i1|m.11002	0
t1	susceptible	S.28	lcl|c225871_g1_i1|m.11002	1
t1	susceptible	S.55	lcl|c225871_g1_i1|m.11002	0
t1	susceptible	S.73	lcl|c225871_g1_i1|m.11002	0
t1	resilient	R.10	lcl|c233847_g4_i8|m.19069	0
t1	resilient	R.13	lcl|c233847_g4_i8|m.19069	1
t1	resilient	R.21	lcl|c233847_g4_i8|m.19069	0
t1	resilient	R.26	lcl|c233847_g4_i8|m.19069	0
t1	resilient	R.66	lcl|c233847_g4_i8|m.19069	0
t1	resilient	R.74	lcl|c233847_g4_i8|m.19069	0
t1	susceptible	S.5	lcl|c233847_g4_i8|m.19069	0
t1	susceptible	S.20	lcl|c233847_g4_i8|m.19069	0
t1	susceptible	S.25	lcl|c233847_g4_i8|m.19069	0
t1	susceptible	S.28	lcl|c233847_g4_i8|m.19069	0
t1	susceptible	S.55	lcl|c233847_g4_i8|m.19069	0
t1	susceptible	S.73	lcl|c233847_g4_i8|m.19069	0
t1	resilient	R.10	lcl|c238895_g5_i1|m.25048	0
t1	resilient	R.13	lcl|c238895_g5_i1|m.25048	0
t1	resilient	R.21	lcl|c238895_g5_i1|m.25048	0
t1	resilient	R.26	lcl|c238895_g5_i1|m.25048	1
t1	resilient	R.66	lcl|c238895_g5_i1|m.25048	0
t1	resilient	R.74	lcl|c238895_g5_i1|m.25048	0
t1	susceptible	S.5	lcl|c238895_g5_i1|m.25048	0
t1	susceptible	S.20	lcl|c238895_g5_i1|m.25048	0
t1	susceptible	S.25	lcl|c238895_g5_i1|m.25048	0
t1	susceptible	S.28	lcl|c238895_g5_i1|m.25048	0
t1	susceptible	S.55	lcl|c238895_g5_i1|m.25048	0
t1	susceptible	S.73	lcl|c238895_g5_i1|m.25048	0
t1	resilient	R.10	lcl|c244372_g1_i1|m.32092	0
t1	resilient	R.13	lcl|c244372_g1_i1|m.32092	1
t1	resilient	R.21	lcl|c244372_g1_i1|m.32092	0
t1	resilient	R.26	lcl|c244372_g1_i1|m.32092	0
t1	resilient	R.66	lcl|c244372_g1_i1|m.32092	0
t1	resilient	R.74	lcl|c244372_g1_i1|m.32092	0
t1	susceptible	S.5	lcl|c244372_g1_i1|m.32092	0
t1	susceptible	S.20	lcl|c244372_g1_i1|m.32092	0
t1	susceptible	S.25	lcl|c244372_g1_i1|m.32092	1
t1	susceptible	S.28	lcl|c244372_g1_i1|m.32092	0
t1	susceptible	S.55	lcl|c244372_g1_i1|m.32092	0
t1	susceptible	S.73	lcl|c244372_g1_i1|m.32092	0
t1	resilient	R.10	lcl|c224316_g4_i1|m.9731	0
t1	resilient	R.13	lcl|c224316_g4_i1|m.9731	1
t1	resilient	R.21	lcl|c224316_g4_i1|m.9731	0
t1	resilient	R.26	lcl|c224316_g4_i1|m.9731	0
t1	resilient	R.66	lcl|c224316_g4_i1|m.9731	0
t1	resilient	R.74	lcl|c224316_g4_i1|m.9731	1
t1	susceptible	S.5	lcl|c224316_g4_i1|m.9731	0
t1	susceptible	S.20	lcl|c224316_g4_i1|m.9731	0
t1	susceptible	S.25	lcl|c224316_g4_i1|m.9731	0
t1	susceptible	S.28	lcl|c224316_g4_i1|m.9731	0
t1	susceptible	S.55	lcl|c224316_g4_i1|m.9731	0
t1	susceptible	S.73	lcl|c224316_g4_i1|m.9731	0
t1	resilient	R.10	lcl|c233837_g1_i8|m.19058	0
t1	resilient	R.13	lcl|c233837_g1_i8|m.19058	0
t1	resilient	R.21	lcl|c233837_g1_i8|m.19058	0
t1	resilient	R.26	lcl|c233837_g1_i8|m.19058	0
t1	resilient	R.66	lcl|c233837_g1_i8|m.19058	0
t1	resilient	R.74	lcl|c233837_g1_i8|m.19058	0
t1	susceptible	S.5	lcl|c233837_g1_i8|m.19058	0
t1	susceptible	S.20	lcl|c233837_g1_i8|m.19058	0
t1	susceptible	S.25	lcl|c233837_g1_i8|m.19058	1
t1	susceptible	S.28	lcl|c233837_g1_i8|m.19058	0
t1	susceptible	S.55	lcl|c233837_g1_i8|m.19058	1
t1	susceptible	S.73	lcl|c233837_g1_i8|m.19058	1
t1	resilient	R.10	lcl|c230944_g4_i1|m.15814	0
t1	resilient	R.13	lcl|c230944_g4_i1|m.15814	0
t1	resilient	R.21	lcl|c230944_g4_i1|m.15814	0
t1	resilient	R.26	lcl|c230944_g4_i1|m.15814	1
t1	resilient	R.66	lcl|c230944_g4_i1|m.15814	0
t1	resilient	R.74	lcl|c230944_g4_i1|m.15814	1
t1	susceptible	S.5	lcl|c230944_g4_i1|m.15814	0
t1	susceptible	S.20	lcl|c230944_g4_i1|m.15814	0
t1	susceptible	S.25	lcl|c230944_g4_i1|m.15814	0
t1	susceptible	S.28	lcl|c230944_g4_i1|m.15814	0
t1	susceptible	S.55	lcl|c230944_g4_i1|m.15814	1
t1	susceptible	S.73	lcl|c230944_g4_i1|m.15814	0
t1	resilient	R.10	lcl|c227646_g4_i2|m.12636	0
t1	resilient	R.13	lcl|c227646_g4_i2|m.12636	0
t1	resilient	R.21	lcl|c227646_g4_i2|m.12636	0
t1	resilient	R.26	lcl|c227646_g4_i2|m.12636	1
t1	resilient	R.66	lcl|c227646_g4_i2|m.12636	0
t1	resilient	R.74	lcl|c227646_g4_i2|m.12636	1
t1	susceptible	S.5	lcl|c227646_g4_i2|m.12636	0
t1	susceptible	S.20	lcl|c227646_g4_i2|m.12636	0
t1	susceptible	S.25	lcl|c227646_g4_i2|m.12636	1
t1	susceptible	S.28	lcl|c227646_g4_i2|m.12636	0
t1	susceptible	S.55	lcl|c227646_g4_i2|m.12636	1
t1	susceptible	S.73	lcl|c227646_g4_i2|m.12636	0
t1	resilient	R.10	lcl|c234022_g3_i1|m.19345	1
t1	resilient	R.13	lcl|c234022_g3_i1|m.19345	0
t1	resilient	R.21	lcl|c234022_g3_i1|m.19345	0
t1	resilient	R.26	lcl|c234022_g3_i1|m.19345	2
t1	resilient	R.66	lcl|c234022_g3_i1|m.19345	0
t1	resilient	R.74	lcl|c234022_g3_i1|m.19345	0
t1	susceptible	S.5	lcl|c234022_g3_i1|m.19345	0
t1	susceptible	S.20	lcl|c234022_g3_i1|m.19345	0
t1	susceptible	S.25	lcl|c234022_g3_i1|m.19345	2
t1	susceptible	S.28	lcl|c234022_g3_i1|m.19345	1
t1	susceptible	S.55	lcl|c234022_g3_i1|m.19345	0
t1	susceptible	S.73	lcl|c234022_g3_i1|m.19345	0
t1	resilient	R.10	lcl|c209664_g1_i1|m.2022	0
t1	resilient	R.13	lcl|c209664_g1_i1|m.2022	0
t1	resilient	R.21	lcl|c209664_g1_i1|m.2022	0
t1	resilient	R.26	lcl|c209664_g1_i1|m.2022	0
t1	resilient	R.66	lcl|c209664_g1_i1|m.2022	2
t1	resilient	R.74	lcl|c209664_g1_i1|m.2022	0
t1	susceptible	S.5	lcl|c209664_g1_i1|m.2022	1
t1	susceptible	S.20	lcl|c209664_g1_i1|m.2022	1
t1	susceptible	S.25	lcl|c209664_g1_i1|m.2022	0
t1	susceptible	S.28	lcl|c209664_g1_i1|m.2022	1
t1	susceptible	S.55	lcl|c209664_g1_i1|m.2022	1
t1	susceptible	S.73	lcl|c209664_g1_i1|m.2022	2
t1	resilient	R.10	lcl|c216506_g3_i1|m.4617	0
t1	resilient	R.13	lcl|c216506_g3_i1|m.4617	1
t1	resilient	R.21	lcl|c216506_g3_i1|m.4617	0
t1	resilient	R.26	lcl|c216506_g3_i1|m.4617	0
t1	resilient	R.66	lcl|c216506_g3_i1|m.4617	0
t1	resilient	R.74	lcl|c216506_g3_i1|m.4617	1
t1	susceptible	S.5	lcl|c216506_g3_i1|m.4617	0
t1	susceptible	S.20	lcl|c216506_g3_i1|m.4617	1
t1	susceptible	S.25	lcl|c216506_g3_i1|m.4617	1
t1	susceptible	S.28	lcl|c216506_g3_i1|m.4617	1
t1	susceptible	S.55	lcl|c216506_g3_i1|m.4617	0
t1	susceptible	S.73	lcl|c216506_g3_i1|m.4617	1
t1	resilient	R.10	lcl|c230184_g2_i3|m.15031	0
t1	resilient	R.13	lcl|c230184_g2_i3|m.15031	1
t1	resilient	R.21	lcl|c230184_g2_i3|m.15031	1
t1	resilient	R.26	lcl|c230184_g2_i3|m.15031	1
t1	resilient	R.66	lcl|c230184_g2_i3|m.15031	2
t1	resilient	R.74	lcl|c230184_g2_i3|m.15031	1
t1	susceptible	S.5	lcl|c230184_g2_i3|m.15031	0
t1	susceptible	S.20	lcl|c230184_g2_i3|m.15031	0
t1	susceptible	S.25	lcl|c230184_g2_i3|m.15031	0
t1	susceptible	S.28	lcl|c230184_g2_i3|m.15031	1
t1	susceptible	S.55	lcl|c230184_g2_i3|m.15031	2
t1	susceptible	S.73	lcl|c230184_g2_i3|m.15031	0
t1	resilient	R.10	lcl|c232301_g1_i1|m.17238	2
t1	resilient	R.13	lcl|c232301_g1_i1|m.17238	2
t1	resilient	R.21	lcl|c232301_g1_i1|m.17238	2
t1	resilient	R.26	lcl|c232301_g1_i1|m.17238	1
t1	resilient	R.66	lcl|c232301_g1_i1|m.17238	0
t1	resilient	R.74	lcl|c232301_g1_i1|m.17238	0
t1	susceptible	S.5	lcl|c232301_g1_i1|m.17238	0
t1	susceptible	S.20	lcl|c232301_g1_i1|m.17238	2
t1	susceptible	S.25	lcl|c232301_g1_i1|m.17238	0
t1	susceptible	S.28	lcl|c232301_g1_i1|m.17238	2
t1	susceptible	S.55	lcl|c232301_g1_i1|m.17238	0
t1	susceptible	S.73	lcl|c232301_g1_i1|m.17238	2
t1	resilient	R.10	lcl|c237211_g6_i4|m.23025	2
t1	resilient	R.13	lcl|c237211_g6_i4|m.23025	1
t1	resilient	R.21	lcl|c237211_g6_i4|m.23025	1
t1	resilient	R.26	lcl|c237211_g6_i4|m.23025	4
t1	resilient	R.66	lcl|c237211_g6_i4|m.23025	0
t1	resilient	R.74	lcl|c237211_g6_i4|m.23025	2
t1	susceptible	S.5	lcl|c237211_g6_i4|m.23025	1
t1	susceptible	S.20	lcl|c237211_g6_i4|m.23025	2
t1	susceptible	S.25	lcl|c237211_g6_i4|m.23025	1
t1	susceptible	S.28	lcl|c237211_g6_i4|m.23025	2
t1	susceptible	S.55	lcl|c237211_g6_i4|m.23025	3
t1	susceptible	S.73	lcl|c237211_g6_i4|m.23025	2
t1	resilient	R.10	lcl|c224522_g3_i3|m.9891	0
t1	resilient	R.13	lcl|c224522_g3_i3|m.9891	0
t1	resilient	R.21	lcl|c224522_g3_i3|m.9891	0
t1	resilient	R.26	lcl|c224522_g3_i3|m.9891	0
t1	resilient	R.66	lcl|c224522_g3_i3|m.9891	0
t1	resilient	R.74	lcl|c224522_g3_i3|m.9891	0
t1	susceptible	S.5	lcl|c224522_g3_i3|m.9891	0
t1	susceptible	S.20	lcl|c224522_g3_i3|m.9891	0
t1	susceptible	S.25	lcl|c224522_g3_i3|m.9891	0
t1	susceptible	S.28	lcl|c224522_g3_i3|m.9891	0
t1	susceptible	S.55	lcl|c224522_g3_i3|m.9891	1
t1	susceptible	S.73	lcl|c224522_g3_i3|m.9891	0
t1	resilient	R.10	lcl|c233850_g1_i6|m.19079	0
t1	resilient	R.13	lcl|c233850_g1_i6|m.19079	0
t1	resilient	R.21	lcl|c233850_g1_i6|m.19079	0
t1	resilient	R.26	lcl|c233850_g1_i6|m.19079	0
t1	resilient	R.66	lcl|c233850_g1_i6|m.19079	0
t1	resilient	R.74	lcl|c233850_g1_i6|m.19079	1
t1	susceptible	S.5	lcl|c233850_g1_i6|m.19079	0
t1	susceptible	S.20	lcl|c233850_g1_i6|m.19079	0
t1	susceptible	S.25	lcl|c233850_g1_i6|m.19079	0
t1	susceptible	S.28	lcl|c233850_g1_i6|m.19079	0
t1	susceptible	S.55	lcl|c233850_g1_i6|m.19079	0
t1	susceptible	S.73	lcl|c233850_g1_i6|m.19079	0
t1	resilient	R.10	lcl|c235352_g3_i1|m.20852	0
t1	resilient	R.13	lcl|c235352_g3_i1|m.20852	0
t1	resilient	R.21	lcl|c235352_g3_i1|m.20852	1
t1	resilient	R.26	lcl|c235352_g3_i1|m.20852	0
t1	resilient	R.66	lcl|c235352_g3_i1|m.20852	0
t1	resilient	R.74	lcl|c235352_g3_i1|m.20852	0
t1	susceptible	S.5	lcl|c235352_g3_i1|m.20852	0
t1	susceptible	S.20	lcl|c235352_g3_i1|m.20852	0
t1	susceptible	S.25	lcl|c235352_g3_i1|m.20852	0
t1	susceptible	S.28	lcl|c235352_g3_i1|m.20852	0
t1	susceptible	S.55	lcl|c235352_g3_i1|m.20852	0
t1	susceptible	S.73	lcl|c235352_g3_i1|m.20852	0
t1	resilient	R.10	lcl|c219866_g1_i1|m.6616	0
t1	resilient	R.13	lcl|c219866_g1_i1|m.6616	0
t1	resilient	R.21	lcl|c219866_g1_i1|m.6616	0
t1	resilient	R.26	lcl|c219866_g1_i1|m.6616	0
t1	resilient	R.66	lcl|c219866_g1_i1|m.6616	0
t1	resilient	R.74	lcl|c219866_g1_i1|m.6616	0
t1	susceptible	S.5	lcl|c219866_g1_i1|m.6616	0
t1	susceptible	S.20	lcl|c219866_g1_i1|m.6616	0
t1	susceptible	S.25	lcl|c219866_g1_i1|m.6616	0
t1	susceptible	S.28	lcl|c219866_g1_i1|m.6616	0
t1	susceptible	S.55	lcl|c219866_g1_i1|m.6616	0
t1	susceptible	S.73	lcl|c219866_g1_i1|m.6616	1
t1	resilient	R.10	lcl|c239029_g3_i1|m.25195	0
t1	resilient	R.13	lcl|c239029_g3_i1|m.25195	0
t1	resilient	R.21	lcl|c239029_g3_i1|m.25195	0
t1	resilient	R.26	lcl|c239029_g3_i1|m.25195	0
t1	resilient	R.66	lcl|c239029_g3_i1|m.25195	0
t1	resilient	R.74	lcl|c239029_g3_i1|m.25195	1
t1	susceptible	S.5	lcl|c239029_g3_i1|m.25195	0
t1	susceptible	S.20	lcl|c239029_g3_i1|m.25195	0
t1	susceptible	S.25	lcl|c239029_g3_i1|m.25195	0
t1	susceptible	S.28	lcl|c239029_g3_i1|m.25195	0
t1	susceptible	S.55	lcl|c239029_g3_i1|m.25195	0
t1	susceptible	S.73	lcl|c239029_g3_i1|m.25195	0
t1	resilient	R.10	lcl|c226071_g2_i1|m.11176	0
t1	resilient	R.13	lcl|c226071_g2_i1|m.11176	1
t1	resilient	R.21	lcl|c226071_g2_i1|m.11176	0
t1	resilient	R.26	lcl|c226071_g2_i1|m.11176	0
t1	resilient	R.66	lcl|c226071_g2_i1|m.11176	0
t1	resilient	R.74	lcl|c226071_g2_i1|m.11176	0
t1	susceptible	S.5	lcl|c226071_g2_i1|m.11176	0
t1	susceptible	S.20	lcl|c226071_g2_i1|m.11176	1
t1	susceptible	S.25	lcl|c226071_g2_i1|m.11176	0
t1	susceptible	S.28	lcl|c226071_g2_i1|m.11176	0
t1	susceptible	S.55	lcl|c226071_g2_i1|m.11176	0
t1	susceptible	S.73	lcl|c226071_g2_i1|m.11176	0
t1	resilient	R.10	lcl|c240639_g1_i2|m.27530	0
t1	resilient	R.13	lcl|c240639_g1_i2|m.27530	0
t1	resilient	R.21	lcl|c240639_g1_i2|m.27530	0
t1	resilient	R.26	lcl|c240639_g1_i2|m.27530	0
t1	resilient	R.66	lcl|c240639_g1_i2|m.27530	0
t1	resilient	R.74	lcl|c240639_g1_i2|m.27530	2
t1	susceptible	S.5	lcl|c240639_g1_i2|m.27530	0
t1	susceptible	S.20	lcl|c240639_g1_i2|m.27530	0
t1	susceptible	S.25	lcl|c240639_g1_i2|m.27530	2
t1	susceptible	S.28	lcl|c240639_g1_i2|m.27530	0
t1	susceptible	S.55	lcl|c240639_g1_i2|m.27530	1
t1	susceptible	S.73	lcl|c240639_g1_i2|m.27530	1
t1	resilient	R.10	lcl|c226489_g1_i5|m.11530	1
t1	resilient	R.13	lcl|c226489_g1_i5|m.11530	0
t1	resilient	R.21	lcl|c226489_g1_i5|m.11530	1
t1	resilient	R.26	lcl|c226489_g1_i5|m.11530	0
t1	resilient	R.66	lcl|c226489_g1_i5|m.11530	0
t1	resilient	R.74	lcl|c226489_g1_i5|m.11530	0
t1	susceptible	S.5	lcl|c226489_g1_i5|m.11530	0
t1	susceptible	S.20	lcl|c226489_g1_i5|m.11530	0
t1	susceptible	S.25	lcl|c226489_g1_i5|m.11530	1
t1	susceptible	S.28	lcl|c226489_g1_i5|m.11530	0
t1	susceptible	S.55	lcl|c226489_g1_i5|m.11530	0
t1	susceptible	S.73	lcl|c226489_g1_i5|m.11530	1
t1	resilient	R.10	lcl|c237969_g1_i2|m.23941	1
t1	resilient	R.13	lcl|c237969_g1_i2|m.23941	0
t1	resilient	R.21	lcl|c237969_g1_i2|m.23941	2
t1	resilient	R.26	lcl|c237969_g1_i2|m.23941	1
t1	resilient	R.66	lcl|c237969_g1_i2|m.23941	0
t1	resilient	R.74	lcl|c237969_g1_i2|m.23941	0
t1	susceptible	S.5	lcl|c237969_g1_i2|m.23941	0
t1	susceptible	S.20	lcl|c237969_g1_i2|m.23941	0
t1	susceptible	S.25	lcl|c237969_g1_i2|m.23941	1
t1	susceptible	S.28	lcl|c237969_g1_i2|m.23941	0
t1	susceptible	S.55	lcl|c237969_g1_i2|m.23941	0
t1	susceptible	S.73	lcl|c237969_g1_i2|m.23941	2
t1	resilient	R.10	lcl|c226513_g6_i2|m.11548	0
t1	resilient	R.13	lcl|c226513_g6_i2|m.11548	1
t1	resilient	R.21	lcl|c226513_g6_i2|m.11548	1
t1	resilient	R.26	lcl|c226513_g6_i2|m.11548	0
t1	resilient	R.66	lcl|c226513_g6_i2|m.11548	0
t1	resilient	R.74	lcl|c226513_g6_i2|m.11548	2
t1	susceptible	S.5	lcl|c226513_g6_i2|m.11548	0
t1	susceptible	S.20	lcl|c226513_g6_i2|m.11548	0
t1	susceptible	S.25	lcl|c226513_g6_i2|m.11548	2
t1	susceptible	S.28	lcl|c226513_g6_i2|m.11548	1
t1	susceptible	S.55	lcl|c226513_g6_i2|m.11548	1
t1	susceptible	S.73	lcl|c226513_g6_i2|m.11548	1
t1	resilient	R.10	lcl|c228653_g2_i5|m.13498	0
t1	resilient	R.13	lcl|c228653_g2_i5|m.13498	0
t1	resilient	R.21	lcl|c228653_g2_i5|m.13498	1
t1	resilient	R.26	lcl|c228653_g2_i5|m.13498	1
t1	resilient	R.66	lcl|c228653_g2_i5|m.13498	1
t1	resilient	R.74	lcl|c228653_g2_i5|m.13498	1
t1	susceptible	S.5	lcl|c228653_g2_i5|m.13498	0
t1	susceptible	S.20	lcl|c228653_g2_i5|m.13498	1
t1	susceptible	S.25	lcl|c228653_g2_i5|m.13498	1
t1	susceptible	S.28	lcl|c228653_g2_i5|m.13498	1
t1	susceptible	S.55	lcl|c228653_g2_i5|m.13498	0
t1	susceptible	S.73	lcl|c228653_g2_i5|m.13498	0
t1	resilient	R.10	lcl|c219901_g4_i1|m.6631	1
t1	resilient	R.13	lcl|c219901_g4_i1|m.6631	1
t1	resilient	R.21	lcl|c219901_g4_i1|m.6631	1
t1	resilient	R.26	lcl|c219901_g4_i1|m.6631	2
t1	resilient	R.66	lcl|c219901_g4_i1|m.6631	2
t1	resilient	R.74	lcl|c219901_g4_i1|m.6631	2
t1	susceptible	S.5	lcl|c219901_g4_i1|m.6631	0
t1	susceptible	S.20	lcl|c219901_g4_i1|m.6631	1
t1	susceptible	S.25	lcl|c219901_g4_i1|m.6631	1
t1	susceptible	S.28	lcl|c219901_g4_i1|m.6631	2
t1	susceptible	S.55	lcl|c219901_g4_i1|m.6631	3
t1	susceptible	S.73	lcl|c219901_g4_i1|m.6631	1
t1	resilient	R.10	lcl|c241490_g1_i3|m.28642	0
t1	resilient	R.13	lcl|c241490_g1_i3|m.28642	0
t1	resilient	R.21	lcl|c241490_g1_i3|m.28642	0
t1	resilient	R.26	lcl|c241490_g1_i3|m.28642	0
t1	resilient	R.66	lcl|c241490_g1_i3|m.28642	0
t1	resilient	R.74	lcl|c241490_g1_i3|m.28642	0
t1	susceptible	S.5	lcl|c241490_g1_i3|m.28642	1
t1	susceptible	S.20	lcl|c241490_g1_i3|m.28642	0
t1	susceptible	S.25	lcl|c241490_g1_i3|m.28642	0
t1	susceptible	S.28	lcl|c241490_g1_i3|m.28642	0
t1	susceptible	S.55	lcl|c241490_g1_i3|m.28642	0
t1	susceptible	S.73	lcl|c241490_g1_i3|m.28642	0
t1	resilient	R.10	lcl|c239146_g1_i3|m.25352	0
t1	resilient	R.13	lcl|c239146_g1_i3|m.25352	0
t1	resilient	R.21	lcl|c239146_g1_i3|m.25352	0
t1	resilient	R.26	lcl|c239146_g1_i3|m.25352	0
t1	resilient	R.66	lcl|c239146_g1_i3|m.25352	0
t1	resilient	R.74	lcl|c239146_g1_i3|m.25352	1
t1	susceptible	S.5	lcl|c239146_g1_i3|m.25352	0
