Protein,Timepoint,R mean,R std,S mean,S std,Log2FC,SSMD
lcl|c218374_g4_i1|m.5754,T2,12.16666667,2.857738033,9.333333333,3.785938897,-0.3824696368,-0.6327809227
lcl|c234733_g4_i1|m.20188,T2,3.5,2.949576241,2.666666667,2.309401077,-0.3923174228,-0.2486456207
lcl|c225334_g2_i5|m.10533,T2,0.5,0.8366600265,0,0,-2.321928095,-0.3865275878
lcl|c229886_g1_i5|m.14728,T2,0.5,0.8366600265,0,0,-2.321928095,-0.3865275878
lcl|c239047_g3_i2|m.25233,T2,0.3333333333,0.8164965809,0,0,-1.736965594,-0.26084743
lcl|c240846_g1_i2|m.27805,T2,0.3333333333,0.8164965809,0,0,-1.736965594,-0.26084743
lcl|c222437_g1_i2|m.8353,T2,59.5,21.95222084,46.33333333,11.50362262,-0.3608391913,-0.9918051071
lcl|c206427_g2_i4|m.1541,T2,8.5,2.073644135,6.666666667,4.509249753,-0.3504972471,-0.3705358339
lcl|c224042_g7_i2|m.9570,T2,5,3.741657387,3.666666667,4.041451884,-0.447458977,-0.2732111483
lcl|c225713_g4_i1|m.10851,T2,1.166666667,0.4082482905,0.6666666667,0.5773502692,-0.8073549221,-0.4662868875
lcl|c238919_g4_i6|m.25079,T2,60.33333333,33.5479756,47,30.4466747,-0.3602945347,-0.4228872429
lcl|c226944_g1_i1|m.11952,T2,0.5,0.8366600265,0.3333333333,0.5773502692,-0.5849625007,-0.1176555907
lcl|c235126_g3_i1|m.20599,T2,0.3333333333,0.8164965809,0,0,-1.736965594,-0.26084743
lcl|c236542_g2_i1|m.22226,T2,0.5,0.8366600265,0,0,-2.321928095,-0.3865275878
lcl|c238738_g2_i3|m.24871,T2,0.3333333333,0.8164965809,0.3333333333,0.5773502692,0,0
lcl|c216784_g1_i1|m.4762,T2,0.6666666667,0.8164965809,0.3333333333,0.5773502692,-1,-0.2377119035
lcl|c228869_g1_i2|m.13736,T2,0.5,0.8366600265,1,0,1,0.3865275878
lcl|c222950_g5_i5|m.8734,T2,35.5,11.92895637,27.66666667,6.506407099,-0.3596701889,-0.9628227183
lcl|c164490_g1_i1|m.440,T2,24,8.94427191,18.66666667,7.023769169,-0.3625700794,-0.6504941721
lcl|c238993_g4_i1|m.25158,T2,0.3333333333,0.8164965809,0,0,-1.736965594,-0.26084743
lcl|c214164_g1_i8|m.3381,T2,0.5,0.8366600265,0,0,-2.321928095,-0.3865275878
lcl|c220807_g2_i1|m.7165,T2,0.5,0.8366600265,0.3333333333,0.5773502692,-0.5849625007,-0.1176555907
lcl|c211914_g5_i4|m.2567,T2,0.8333333333,0.7527726527,0.3333333333,0.5773502692,-1.321928095,-0.3687172622
lcl|c219733_g1_i5|m.6547,T2,3.833333333,1.471960144,3,2,-0.3536369546,-0.3162397009
lcl|c214656_g8_i1|m.3574,T2,1,0.632455532,1,0,0,0
lcl|c238611_g1_i1|m.24720,T2,0.8333333333,0.7527726527,0.6666666667,0.5773502692,-0.3219280949,-0.1229057541
lcl|c218388_g2_i3|m.5763,T2,0.5,0.8366600265,0,0,-2.321928095,-0.3865275878
lcl|c241966_g1_i2|m.29201,T2,0.6666666667,0.8164965809,0,0,-2.736965594,-0.52169486
lcl|c222937_g2_i3|m.8724,T2,18.83333333,6.242328625,14.66666667,2.309401077,-0.3607473438,-0.9870960084
lcl|c234738_g1_i1|m.20193,T2,1.333333333,2.160246899,1,1.732050808,-0.4150374993,-0.1231993898
lcl|c218576_g4_i1|m.5836,T2,0.3333333333,0.8164965809,0.3333333333,0.5773502692,0,0
lcl|c215720_g4_i1|m.4168,T2,0.5,0.8366600265,0,0,-2.321928095,-0.3865275878
lcl|c234082_g2_i6|m.19416,T2,0.5,0.8366600265,0.3333333333,0.5773502692,-0.5849625007,-0.1176555907
lcl|c236218_g9_i1|m.21856,T2,0.5,0.8366600265,0.3333333333,0.5773502692,-0.5849625007,-0.1176555907
lcl|c223274_g3_i3|m.8991,T2,1.833333333,1.471960144,1.666666667,0.5773502692,-0.1375035237,-0.09206482321
lcl|c228886_g2_i3|m.13746,T2,0.5,0.8366600265,0,0,-2.321928095,-0.3865275878
lcl|c239381_g2_i1|m.25706,T2,3.833333333,2.857738033,3,1,-0.3536369546,-0.321573573
lcl|c240948_g3_i3|m.27988,T2,0.6666666667,0.8164965809,0,0,-2.736965594,-0.52169486
lcl|c230725_g5_i4|m.15553,T2,0.5,0.8366600265,0.3333333333,0.5773502692,-0.5849625007,-0.1176555907
lcl|c233719_g1_i10|m.18891,T2,0.3333333333,0.8164965809,0,0,-1.736965594,-0.26084743
lcl|c232008_g1_i2|m.16909,T2,0.5,0.8366600265,0.6666666667,0.5773502692,0.4150374993,0.1176555907
lcl|c225110_g1_i1|m.10369,T2,0.5,0.8366600265,0,0,-2.321928095,-0.3865275878
lcl|c236181_g1_i10|m.21802,T2,0.6666666667,0.8164965809,0,0,-2.736965594,-0.52169486
lcl|c221925_g1_i3|m.7988,T2,47.66666667,8.59457193,37.33333333,4.163331999,-0.3525164147,-1.758690685
lcl|c227332_g2_i2|m.12341,T2,55.16666667,14.74336009,43,6.08276253,-0.3594601514,-1.492121386
lcl|c241090_g1_i1|m.28152,T2,4.5,4.135214626,3.666666667,0.5773502692,-0.2954558835,-0.2841021662
lcl|c238150_g1_i5|m.24172,T2,0.5,0.8366600265,0,0,-2.321928095,-0.3865275878
lcl|c224589_g7_i1|m.9992,T2,3.333333333,1.751190072,2.666666667,2.081665999,-0.3219280949,-0.2381603541
lcl|c214261_g2_i4|m.3427,T2,0.3333333333,0.8164965809,0,0,-1.736965594,-0.26084743
lcl|c216916_g1_i2|m.4843,T2,0.3333333333,0.8164965809,0.6666666667,0.5773502692,1,0.2377119035
lcl|c243371_g1_i1|m.30909,T2,1.166666667,1.169045194,1,1,-0.2223924213,-0.09122202389
lcl|c238499_g4_i2|m.24591,T2,0.6666666667,0.8164965809,0.3333333333,0.5773502692,-1,-0.2377119035
lcl|c224585_g1_i10|m.9981,T2,0.5,0.8366600265,0,0,-2.321928095,-0.3865275878
lcl|c236395_g1_i1|m.22069,T2,0.3333333333,0.8164965809,0.3333333333,0.5773502692,0,0
lcl|c241254_g2_i1|m.28367,T2,0.6666666667,0.8164965809,1,0,0.5849625007,0.26084743
lcl|c227758_g2_i4|m.12736,T2,7.5,4.324349662,6,1.732050808,-0.3219280949,-0.439493586
lcl|c213946_g11_i4|m.3301,T2,5.333333333,3.011090611,4,5.291502622,-0.4150374993,-0.2285902275
lcl|c235769_g7_i2|m.21324,T2,19.5,24.63939934,15.33333333,3.785938897,-0.3468027635,-0.5224187822
lcl|c239814_g2_i1|m.26347,T2,2.166666667,1.834847859,1.333333333,2.309401077,-0.7004397181,-0.2777310449
lcl|c238843_g5_i10|m.24992,T2,1,0.632455532,0,0,-3.321928095,-0.889139705
lcl|c176630_g1_i1|m.578,T2,0.3333333333,0.8164965809,0,0,-1.736965594,-0.26084743
lcl|c225112_g3_i3|m.10371,T2,0.3333333333,0.8164965809,0,0,-1.736965594,-0.26084743
lcl|c220204_g2_i2|m.6810,T2,0.3333333333,0.8164965809,0,0,-1.736965594,-0.26084743
lcl|c219632_g2_i1|m.6493,T2,0.3333333333,0.8164965809,0,0,-1.736965594,-0.26084743
lcl|c235184_g7_i1|m.20675,T2,11.66666667,2.422120283,9.333333333,1.527525232,-0.3219280949,-0.8709394223
lcl|c242671_g2_i1|m.30114,T2,0.5,0.8366600265,0.3333333333,0.5773502692,-0.5849625007,-0.1176555907
lcl|c223870_g1_i6|m.9447,T2,25.66666667,10.28915286,20,8.888194417,-0.3598959451,-0.5678652592
lcl|c231789_g3_i2|m.16623,T2,4.5,2.167948339,3.666666667,1.154700538,-0.2954558835,-0.3499908699
lcl|c228666_g1_i2|m.13507,T2,4.5,1.870828693,3.666666667,1.527525232,-0.2954558835,-0.3381006024
lcl|c222393_g1_i8|m.8302,T2,0.5,0.8366600265,0,0,-2.321928095,-0.3865275878
lcl|c222400_g6_i5|m.8305,T2,0.5,0.8366600265,0.3333333333,0.5773502692,-0.5849625007,-0.1176555907
lcl|c226291_g5_i2|m.11359,T2,0.3333333333,0.8164965809,0.6666666667,0.5773502692,1,0.2377119035
lcl|c227009_g2_i1|m.12051,T2,0.8333333333,0.7527726527,0,0,-3.058893689,-0.6791595931
lcl|c236516_g4_i3|m.22202,T2,6.333333333,3.881580434,4.666666667,4.041451884,-0.4405725914,-0.3395250476
lcl|c227373_g2_i1|m.12378,T2,0.6666666667,0.8164965809,0.6666666667,0.5773502692,0,0
lcl|c234030_g1_i2|m.19353,T2,1,0.632455532,1,0,0,0
lcl|c219636_g2_i1|m.6494,T2,2.333333333,1.751190072,1.666666667,1.527525232,-0.4854268272,-0.2759699282
lcl|c210532_g1_i1|m.2196,T2,0.5,0.8366600265,0.3333333333,0.5773502692,-0.5849625007,-0.1176555907
lcl|c241608_g2_i1|m.28762,T2,0.6666666667,0.8164965809,0,0,-2.736965594,-0.52169486
lcl|c222943_g1_i1|m.8725,T2,0.6666666667,0.8164965809,0,0,-2.736965594,-0.52169486
lcl|c224624_g4_i1|m.10025,T2,6.666666667,3.204163958,5.333333333,1.527525232,-0.3219280949,-0.4509638714
lcl|c223983_g2_i8|m.9524,T2,1.333333333,1.032795559,1,1,-0.4150374993,-0.1903801351
lcl|c221495_g1_i4|m.7674,T2,0.3333333333,0.8164965809,0,0,-1.736965594,-0.26084743
lcl|c244028_g1_i1|m.31642,T2,0.5,0.8366600265,0,0,-2.321928095,-0.3865275878
lcl|c238994_g2_i3|m.25167,T2,2.5,1.048808848,2,0,-0.3219280949,-0.3452286542
lcl|c226454_g2_i2|m.11493,T2,0.5,0.8366600265,0,0,-2.321928095,-0.3865275878
lcl|c227548_g2_i4|m.12564,T2,0.5,0.8366600265,0.3333333333,0.5773502692,-0.5849625007,-0.1176555907
lcl|c239419_g1_i10|m.25764,T2,0.6666666667,0.8164965809,0,0,-2.736965594,-0.52169486
lcl|c233142_g2_i1|m.18198,T2,0.5,0.8366600265,0.3333333333,0.5773502692,-0.5849625007,-0.1176555907
lcl|c215551_g6_i1|m.4083,T2,2.333333333,1.211060142,2,1,-0.2223924213,-0.1801901763
lcl|c229132_g1_i2|m.13984,T2,10,5.138093031,8,5.196152423,-0.3219280949,-0.3275776479
lcl|c223808_g2_i1|m.9405,T2,3.666666667,1.032795559,3,2.645751311,-0.2895066172,-0.2214168547
lcl|c221855_g2_i3|m.7925,T2,7.833333333,5.192943931,6.333333333,2.886751346,-0.3066613382,-0.3466948345
lcl|c220094_g3_i2|m.6746,T2,0.3333333333,0.8164965809,0,0,-1.736965594,-0.26084743
lcl|c222253_g5_i4|m.8203,T2,0.6666666667,0.8164965809,0,0,-2.736965594,-0.52169486
lcl|c230044_g4_i2|m.14887,T2,0.5,0.8366600265,1,0,1,0.3865275878
lcl|c243269_g3_i1|m.30762,T2,2.833333333,1.471960144,2,2.645751311,-0.5025003405,-0.2642651759
lcl|c233968_g6_i1|m.19272,T2,0.3333333333,0.8164965809,0,0,-1.736965594,-0.26084743
lcl|c239047_g3_i1|m.25231,T2,0.5,0.8366600265,0,0,-2.321928095,-0.3865275878
lcl|c220937_g5_i7|m.7248,T2,1,0.632455532,0.3333333333,0.5773502692,-1.584962501,-0.5273356661
lcl|c228583_g6_i1|m.13441,T2,56.5,17.32916617,44.66666667,3.511884584,-0.3390522727,-1.726222125
lcl|c233905_g2_i1|m.19151,T2,13.5,4.969909456,10.66666667,2.309401077,-0.3398500029,-0.724992194
lcl|c230551_g2_i3|m.15412,T2,0.5,0.8366600265,0,0,-2.321928095,-0.3865275878
lcl|c216330_g2_i4|m.4540,T2,0.6666666667,0.8164965809,0,0,-2.736965594,-0.52169486
lcl|c222225_g1_i1|m.8189,T2,0.5,0.8366600265,0.3333333333,0.5773502692,-0.5849625007,-0.1176555907
lcl|c218032_g1_i1|m.5496,T2,0.5,0.8366600265,0,0,-2.321928095,-0.3865275878
lcl|c223475_g2_i9|m.9154,T2,0.6666666667,0.8164965809,0,0,-2.736965594,-0.52169486
lcl|c242949_g1_i1|m.30439,T2,0.5,0.8366600265,0.3333333333,0.5773502692,-0.5849625007,-0.1176555907
lcl|c226683_g4_i10|m.11705,T2,0.6666666667,0.8164965809,0,0,-2.736965594,-0.52169486
lcl|c210724_g2_i1|m.2253,T2,5.333333333,2.804757862,4.333333333,2.309401077,-0.2995602819,-0.3022976671
lcl|c236135_g4_i5|m.21746,T2,2,0.894427191,1.666666667,0.5773502692,-0.2630344058,-0.2288162412
lcl|c220380_g1_i3|m.6911,T2,0.6666666667,0.8164965809,0.3333333333,0.5773502692,-1,-0.2377119035
lcl|c225136_g5_i9|m.10397,T2,0.6666666667,0.8164965809,0.3333333333,0.5773502692,-1,-0.2377119035
lcl|c234177_g2_i1|m.19581,T2,0.6666666667,0.8164965809,0.6666666667,0.5773502692,0,0
lcl|c222353_g1_i1|m.8273,T2,1.666666667,1.966384161,1.333333333,1.527525232,-0.3219280949,-0.1331619135
lcl|c224520_g2_i1|m.9889,T2,1.166666667,0.9831920803,1,1,-0.2223924213,-0.09676873256
lcl|c237401_g6_i1|m.23232,T2,0.3333333333,0.8164965809,0,0,-1.736965594,-0.26084743
lcl|c98777_g1_i1|m.32741,T2,0.5,0.8366600265,0,0,-2.321928095,-0.3865275878
lcl|c244304_g2_i1|m.32002,T2,0.5,0.8366600265,0,0,-2.321928095,-0.3865275878
lcl|c221444_g1_i1|m.7638,T2,0.5,0.8366600265,0.3333333333,0.5773502692,-0.5849625007,-0.1176555907
lcl|c209492_g1_i1|m.1979,T2,0.5,0.8366600265,0,0,-2.321928095,-0.3865275878
