Protein,Timepoint,R mean,R std,S mean,S std,Log2FC,SSMD
lcl|c230398_g2_i8|m.15247,T1,13.33333333,31.21324505,0,0,-7.058893689,-1.687540785
lcl|c81884_g1_i1|m.32679,T1,9.166666667,13.93436998,1.666666667,1.966384161,-2.459431619,-1.331340764
lcl|c238399_g3_i2|m.24483,T1,10.5,17.1318417,1.833333333,4.490731195,-2.517848305,-1.174712336
lcl|c219759_g3_i3|m.6556,T1,4.5,2.258317958,1.166666667,0.9831920803,-1.94753258,-1.42350055
lcl|c240246_g6_i1|m.26956,T1,3.166666667,2.136976057,0,0,-4.984893108,-1.531748715
lcl|c238733_g2_i2|m.24867,T1,20.16666667,25.45126061,6.166666667,6.968978883,-1.709409872,-1.403730543
lcl|c233968_g6_i1|m.19272,T1,5.5,9.093954036,1.333333333,2.804757862,-2.044394119,-0.8162942997
lcl|c239376_g2_i9|m.25696,T1,2,4.898979486,0,0,-4.321928095,-0.6389431042
lcl|c233495_g1_i1|m.18614,T1,3.333333333,4.885352256,1,1.264911064,-1.736965594,-0.6919633593
lcl|c231808_g9_i1|m.16644,T1,2.833333333,2.714160398,0.8333333333,0.7527726527,-1.765534746,-0.8168378547
lcl|c233679_g3_i13|m.18855,T1,5.333333333,4.082482905,2,1.549193338,-1.415037499,-1.025521329
lcl|c233495_g1_i4|m.18615,T1,2,4.427188724,0.1666666667,0.4082482905,-3.584962501,-0.6103979009
lcl|c225544_g1_i2|m.10720,T1,2,3.521363372,0.3333333333,0.5163977795,-2.584962501,-0.6164645124
lcl|c241114_g1_i2|m.28195,T1,2.5,1.048808848,0.6666666667,0.5163977795,-1.906890596,-1.192316571
lcl|c239860_g1_i1|m.26440,T1,15,16.14930339,5.333333333,8.640987598,-1.491853096,-0.934663623
lcl|c239860_g1_i4|m.26447,T1,1.666666667,4.082482905,0,0,-4.058893689,-0.5832725853
lcl|c232294_g5_i11|m.17226,T1,3.166666667,1.834847859,0.8333333333,1.169045194,-1.925999419,-1.039724552
lcl|c242717_g1_i3|m.30173,T1,1.333333333,3.265986324,0,0,-3.736965594,-0.52169486
lcl|c212713_g4_i1|m.2814,T1,1.833333333,2.401388487,0.1666666667,0.4082482905,-3.459431619,-0.7476440214
lcl|c229461_g3_i2|m.14279,T1,2,1.897366596,0.5,0.5477225575,-2,-0.7412734657
lcl|c235585_g2_i7|m.21110,T1,9,5.291502622,3.833333333,1.940790217,-1.231325546,-1.363921758
lcl|c239139_g1_i7|m.25343,T1,4.166666667,6.645800679,1.333333333,3.265986324,-1.64385619,-0.5788552299
lcl|c232108_g1_i2|m.16999,T1,25.16666667,23.97846256,10.66666667,11.84342293,-1.238404739,-1.056892884
lcl|c237658_g3_i4|m.23566,T1,1.5,3.209361307,0,0,-3.906890596,-0.5920616826
lcl|c233377_g4_i3|m.18471,T1,3,2.529822128,1.166666667,1.169045194,-1.362570079,-0.7232035807
lcl|c236885_g1_i3|m.22659,T1,1.5,2.34520788,0,0,-3.906890596,-0.6926049464
lcl|c230065_g1_i2|m.14908,T1,4.333333333,3.141125064,1.333333333,2.160246899,-1.700439718,-0.9066416727
lcl|c229886_g1_i6|m.14730,T1,4.5,3.674234614,1.833333333,1.834847859,-1.295455884,-0.814647803
lcl|c227188_g1_i1|m.12222,T1,5.5,2.34520788,2.5,1.048808848,-1.137503524,-1.246712692
lcl|c231462_g1_i10|m.16284,T1,2.166666667,1.169045194,0.5,0.5477225575,-2.115477217,-1.026133612
lcl|c225110_g1_i1|m.10369,T1,1.5,3.209361307,0,0,-3.906890596,-0.5920616826
lcl|c227571_g1_i1|m.12592,T1,1.666666667,1.632993162,0.8333333333,0.4082482905,-1,-0.4497837932
lcl|c226978_g9_i3|m.11996,T1,15.66666667,12.95633693,7.5,2.810693865,-1.062735755,-1.404446085
lcl|c223378_g2_i2|m.9075,T1,2.333333333,3.011090611,0.6666666667,1.211060142,-1.807354922,-0.6090335886
lcl|c218374_g1_i3|m.5753,T1,1.5,1.974841766,0.5,0.5477225575,-1.584962501,-0.485089311
lcl|c229351_g6_i1|m.14197,T1,2.166666667,1.722401424,0.5,0.8366600265,-2.115477217,-0.8186472565
lcl|c237753_g2_i2|m.23709,T1,1.333333333,2.065591118,0.3333333333,0.5163977795,-2,-0.4768478709
lcl|c228309_g1_i6|m.13221,T1,4,2.529822128,2.166666667,0.7527726527,-0.8845227826,-0.7729111464
lcl|c234277_g5_i1|m.19677,T1,3.5,1.760681686,1.5,1.643167673,-1.222392421,-0.8018390663
lcl|c231559_g1_i5|m.16408,T1,5,3.577708764,2.333333333,2.065591118,-1.099535674,-0.7890346106
lcl|c229073_g2_i1|m.13946,T1,11.83333333,9.786044485,5.833333333,6.369196705,-1.020464103,-0.7737025559
lcl|c214584_g4_i1|m.3540,T1,1.166666667,1.834847859,0,0,-3.544320516,-0.6090202904
lcl|c220475_g1_i1|m.6962,T1,9,4.147288271,4.666666667,2.581988897,-0.9475325801,-1.120310113
lcl|c223710_g5_i3|m.9324,T1,2.5,1.048808848,0.8333333333,0.9831920803,-1.584962501,-0.9521036216
lcl|c203735_g1_i1|m.1335,T1,1.833333333,0.9831920803,0.3333333333,0.5163977795,-2.459431619,-1.003787897
lcl|c233181_g4_i3|m.18256,T1,6.5,7.609204952,3.166666667,4.119061382,-1.037474705,-0.587558985
lcl|c184118_g1_i1|m.691,T1,1.166666667,2.041241452,0.3333333333,0.5163977795,-1.807354922,-0.3995918134
lcl|c230178_g1_i1|m.15027,T1,1,2.449489743,0,0,-3.321928095,-0.4518010018
lcl|c228868_g10_i1|m.13735,T1,1.666666667,2.065591118,0.3333333333,0.8164965809,-2.321928095,-0.6087170316
lcl|c211551_g6_i4|m.2453,T1,1,2.449489743,0.1666666667,0.4082482905,-2.584962501,-0.3702553384
lcl|c233873_g4_i1|m.19119,T1,5.666666667,2.943920289,2.833333333,2.639444386,-1,-0.7902599166
lcl|c236195_g2_i4|m.21823,T1,1.5,1.870828693,0.3333333333,0.5163977795,-2.169925001,-0.5827273168
lcl|c238372_g5_i2|m.24429,T1,2.666666667,1.032795559,1.333333333,1.032795559,-1,-0.7533728897
lcl|c239662_g2_i17|m.26115,T1,6.5,3.728270376,3.5,2.588435821,-0.8930847961,-0.7973384049
lcl|c233922_g1_i2|m.19174,T1,4.5,1.643167673,2.5,0.8366600265,-0.8479969066,-1.001712471
lcl|c233030_g2_i3|m.18059,T1,5.5,2.588435821,3,1.673320053,-0.8744691179,-0.8851639269
lcl|c216500_g6_i5|m.4616,T1,3.833333333,1.722401424,2.166666667,0.9831920803,-0.8231222379,-0.7935185952
lcl|c221114_g2_i1|m.7405,T1,2.166666667,1.329160136,1.166666667,0.7527726527,-0.8930847961,-0.556847174
lcl|c207254_g1_i2|m.1628,T1,2.333333333,1.505545305,1.333333333,0.5163977795,-0.8073549221,-0.552346498
lcl|c223433_g6_i1|m.9115,T1,2.166666667,1.940790217,1,0.894427191,-1.115477217,-0.5392008212
lcl|c233215_g1_i5|m.18281,T1,2.166666667,1.471960144,0.8333333333,1.169045194,-1.378511623,-0.6422003404
lcl|c230862_g3_i1|m.15714,T1,1.333333333,1.211060142,0.5,0.5477225575,-1.415037499,-0.5050857293
lcl|c232137_g2_i1|m.17041,T1,6.5,7.176350047,3.666666667,3.444802849,-0.8259706002,-0.553333
lcl|c217534_g1_i2|m.5231,T1,5.333333333,3.723797345,2.666666667,3.723797345,-1,-0.5776085176
lcl|c236878_g1_i2|m.22651,T1,1.333333333,1.505545305,0.1666666667,0.4082482905,-3,-0.654465004
lcl|c232834_g2_i9|m.17824,T1,20.5,18.47971861,11.66666667,2.250925735,-0.8132314884,-1.362589551
lcl|c232983_g2_i2|m.17991,T1,6.833333333,5.076087732,3.666666667,2.581988897,-0.898120386,-0.772154672
lcl|c226613_g4_i3|m.11623,T1,4.666666667,3.386246693,2.666666667,1.505545305,-0.8073549221,-0.6652210103
lcl|c210724_g2_i1|m.2253,T1,5.5,2.880972058,3,2,-0.8744691179,-0.8001508116
lcl|c242618_g2_i3|m.30039,T1,1.333333333,1.505545305,0.1666666667,0.4082482905,-3,-0.654465004
lcl|c199545_g1_i1|m.1080,T1,2.5,1.643167673,0.8333333333,1.329160136,-1.584962501,-0.7414365889
lcl|c239381_g2_i1|m.25706,T1,5.166666667,2.926886856,3,1.414213562,-0.7842713089,-0.7731306841
lcl|c211022_g1_i7|m.2328,T1,2,1.095445115,0.6666666667,0.8164965809,-1.584962501,-0.7887534892
lcl|c234838_g1_i12|m.20324,T1,1.166666667,2.857738033,0.3333333333,0.8164965809,-1.807354922,-0.3298644379
lcl|c217182_g4_i2|m.5020,T1,1.166666667,1.329160136,0.5,0.5477225575,-1.222392421,-0.3876021222
lcl|c220485_g3_i1|m.6974,T1,7.333333333,14.80090087,4,9.316651759,-0.8744691179,-0.3089576079
lcl|c229538_g7_i4|m.14373,T1,5.833333333,2.926886856,3.5,1.378404875,-0.7369655942,-0.8379540882
lcl|c242894_g3_i1|m.30343,T1,3,4.195235393,1.833333333,1.722401424,-0.7104933828,-0.3461882702
lcl|c231190_g4_i3|m.16030,T1,6.5,2.258317958,3.666666667,2.581988897,-0.8259706002,-0.8472520595
lcl|c240578_g4_i1|m.27439,T1,2.666666667,3.141125064,1,1.549193338,-1.415037499,-0.565630218
lcl|c212602_g3_i5|m.2781,T1,8,7.375635566,4.5,3.146426545,-0.8300749986,-0.7049338822
lcl|c233739_g1_i1|m.18926,T1,3.666666667,1.632993162,2,1.414213562,-0.8744691179,-0.7262880293
lcl|c223604_g1_i1|m.9235,T1,1,1.673320053,0,0,-3.321928095,-0.546632557
lcl|c211553_g1_i1|m.2455,T1,1.5,1.378404875,0.5,0.5477225575,-1.584962501,-0.5719601811
lcl|c234172_g3_i1|m.19574,T1,3.333333333,2.250925735,1.666666667,1.861898673,-1,-0.5904185133
lcl|c228205_g4_i2|m.13127,T1,4,1.264911064,2.333333333,0.8164965809,-0.7776075787,-0.9322065636
lcl|c234898_g1_i3|m.20394,T1,6.833333333,4.915960401,3.833333333,4.070217029,-0.8339900486,-0.5838898288
lcl|c218302_g5_i1|m.5709,T1,1.166666667,1.329160136,0,0,-3.544320516,-0.7155551933
lcl|c244452_g2_i2|m.32209,T1,2.833333333,2.228601953,1.333333333,1.751190072,-1.087462841,-0.5468530025
lcl|c240117_g3_i4|m.26812,T1,1.166666667,1.329160136,0.1666666667,0.4082482905,-2.807354922,-0.5949654928
lcl|c228109_g2_i1|m.13051,T1,3.333333333,5.573747991,1.833333333,2.562550813,-0.8624964763,-0.3563944605
lcl|c242139_g4_i2|m.29446,T1,7.333333333,2.338090389,4.333333333,1.505545305,-0.7589919005,-1.13855088
lcl|c235446_g2_i1|m.20934,T1,1.833333333,2.316606714,0.6666666667,1.211060142,-1.459431619,-0.4723741686
lcl|c224781_g7_i2|m.10124,T1,2,1.673320053,1,0.894427191,-1,-0.4910795261
lcl|c229053_g1_i5|m.13916,T1,1.333333333,1.751190072,0.5,0.8366600265,-1.415037499,-0.406509862
lcl|c239610_g1_i3|m.26053,T1,4,1.095445115,2.5,1.378404875,-0.6780719051,-0.7416215583
lcl|c223499_g2_i6|m.9173,T1,6,5.761944116,3,4.647580015,-1,-0.5212554388
lcl|c217341_g1_i2|m.5116,T1,13.16666667,14.86494758,8.166666667,4.665476039,-0.6890709041,-0.6967562726
lcl|c237702_g1_i1|m.23627,T1,4.833333333,1.940790217,3,1.264911064,-0.6880559937,-0.7830482787
lcl|c220638_g5_i1|m.7054,T1,1.333333333,1.632993162,1,0.632455532,-0.4150374993,-0.1740938081
lcl|c224557_g2_i1|m.9933,T1,4.833333333,2.857738033,2.833333333,2.483277404,-0.7705181539,-0.5802065311
lcl|c227586_g2_i2|m.12601,T1,1,1.549193338,0.1666666667,0.4082482905,-2.584962501,-0.4611833434
lcl|c222343_g4_i1|m.8262,T1,10.16666667,6.853223086,6.166666667,4.956477244,-0.7212839719,-0.6465663501
lcl|c217146_g1_i1|m.4997,T1,0.8333333333,1.602081979,0.3333333333,0.5163977795,-1.321928095,-0.2683819438
lcl|c227887_g3_i2|m.12871,T1,2.166666667,1.169045194,1.166666667,0.7527726527,-0.8930847961,-0.5867391838
lcl|c210342_g3_i4|m.2163,T1,4.666666667,1.861898673,3,1.788854382,-0.6374299206,-0.6333978366
lcl|c235126_g4_i1|m.20601,T1,15.66666667,10.50079362,9.833333333,6.554896389,-0.6719458023,-0.7293475792
lcl|c233088_g8_i4|m.18128,T1,1.333333333,1.032795559,0.5,0.5477225575,-1.415037499,-0.5418123668
lcl|c236213_g2_i1|m.21849,T1,4.666666667,0.8164965809,3,4,-0.6374299206,-0.3969042324
lcl|c221464_g1_i3|m.7656,T1,1.833333333,0.4082482905,1,0.632455532,-0.8744691179,-0.75555017
lcl|c227969_g2_i1|m.12933,T1,1.833333333,1.169045194,1,1.095445115,-0.8744691179,-0.4430311796
lcl|c244278_g1_i1|m.31973,T1,947,262.1747509,594.6666667,435.9691121,-0.6712832163,-0.8070487801
lcl|c234883_g2_i2|m.20378,T1,2.333333333,1.366260102,1.166666667,0.9831920803,-1,-0.606587776
lcl|c220845_g6_i1|m.7197,T1,1.833333333,2.136976057,0.8333333333,1.329160136,-1.137503524,-0.4068733884
lcl|c230192_g3_i5|m.15041,T1,1.5,1.378404875,0.8333333333,0.7527726527,-0.8479969066,-0.3656894575
lcl|c218789_g1_i2|m.5965,T1,1.5,0.5477225575,0.5,0.5477225575,-1.584962501,-0.8465324688
lcl|c218968_g13_i5|m.6107,T1,1.333333333,1.032795559,0.8333333333,0.4082482905,-0.6780719051,-0.3346553954
lcl|c236343_g4_i7|m.22015,T1,3.833333333,2.228601953,2.333333333,1.751190072,-0.716207034,-0.5468530025
lcl|c222667_g10_i4|m.8510,T1,1.333333333,1.032795559,0.6666666667,0.5163977795,-1,-0.4365364027
lcl|c230136_g1_i1|m.14983,T1,1.166666667,1.169045194,0.3333333333,0.5163977795,-1.807354922,-0.5163392533
lcl|c214189_g1_i1|m.3388,T1,1.333333333,1.032795559,0.5,0.5477225575,-1.415037499,-0.5418123668
lcl|c239546_g1_i2|m.25957,T1,3.833333333,1.169045194,2.333333333,1.861898673,-0.716207034,-0.6225858344
lcl|c230001_g3_i1|m.14844,T1,1.166666667,1.169045194,0.8333333333,0.4082482905,-0.4854268272,-0.2106182214
lcl|c229445_g3_i3|m.14271,T1,3.333333333,0.8164965809,2.166666667,0.7527726527,-0.6214883767,-0.7866273241
lcl|c229021_g1_i1|m.13887,T1,1.333333333,1.032795559,0.5,0.5477225575,-1.415037499,-0.5418123668
lcl|c224670_g2_i1|m.10052,T1,1.166666667,1.602081979,1,0.632455532,-0.2223924213,-0.08779028926
lcl|c230150_g4_i2|m.14989,T1,2.833333333,1.602081979,1.666666667,1.211060142,-0.7655347464,-0.5398209438
lcl|c238657_g1_i1|m.24764,T1,1.833333333,0.7527726527,1,0.632455532,-0.8744691179,-0.6036832342
lcl|c216057_g3_i4|m.4374,T1,6,4.289522118,3.833333333,2.786873995,-0.6463630454,-0.5359079444
lcl|c227186_g4_i4|m.12220,T1,3.833333333,6.735478206,2.333333333,2.732520204,-0.716207034,-0.3278140553
lcl|c230405_g2_i9|m.15259,T1,1.333333333,1.366260102,0.5,0.5477225575,-1.415037499,-0.4785385204
lcl|c219817_g1_i3|m.6593,T1,1.333333333,1.366260102,0.1666666667,0.4082482905,-3,-0.6851863223
lcl|c230270_g1_i2|m.15107,T1,1.5,0.8366600265,0,0,-3.906890596,-1.159582764
lcl|c234883_g2_i9|m.20380,T1,2.333333333,1.366260102,1.166666667,0.9831920803,-1,-0.606587776
lcl|c235294_g4_i1|m.20789,T1,1.333333333,1.632993162,0.5,0.8366600265,-1.415037499,-0.4184495911
lcl|c240254_g2_i3|m.26966,T1,1.333333333,1.032795559,0.1666666667,0.4082482905,-3,-0.7808625894
lcl|c229853_g1_i1|m.14683,T1,1.166666667,1.471960144,0.3333333333,0.5163977795,-1.807354922,-0.4650787918
lcl|c238912_g1_i4|m.25063,T1,0.8333333333,1.602081979,0.3333333333,0.5163977795,-1.321928095,-0.2683819438
lcl|c223794_g7_i1|m.9389,T1,2.5,2.42899156,1.333333333,1.751190072,-0.9068905956,-0.41443531
lcl|c240887_g1_i5|m.27881,T1,1.333333333,1.032795559,0.1666666667,0.4082482905,-3,-0.7808625894
lcl|c232181_g4_i2|m.17102,T1,4.333333333,2.422120283,2.833333333,2.714160398,-0.6129768769,-0.4292569081
lcl|c213826_g1_i1|m.3216,T1,1.166666667,0.9831920803,0.5,0.5477225575,-1.222392421,-0.44283504
lcl|c220294_g1_i11|m.6858,T1,1.666666667,1.966384161,1,1.095445115,-0.7369655942,-0.2942611379
lcl|c220863_g2_i3|m.7207,T1,3.333333333,1.632993162,1.666666667,2.065591118,-1,-0.6072601312
lcl|c239136_g4_i3|m.25338,T1,1.5,1.760681686,0.8333333333,1.169045194,-0.8479969066,-0.3015378319
lcl|c215761_g1_i1|m.4176,T1,1.166666667,1.169045194,1,0,-0.2223924213,-0.1089978926
lcl|c238903_g3_i2|m.25053,T1,15.66666667,5.316640543,10.33333333,4.676180778,-0.6003925413,-0.9355293059
lcl|c225829_g1_i1|m.10978,T1,92.16666667,35.49319184,60.83333333,12.35178799,-0.5993830165,-2.095638164
lcl|c236210_g3_i1|m.21846,T1,2.333333333,1.966384161,1.333333333,1.211060142,-0.8073549221,-0.4303539979
lcl|c227927_g4_i1|m.12894,T1,1.833333333,1.169045194,1,0.894427191,-0.8744691179,-0.470420273
lcl|c233547_g3_i1|m.18698,T1,4.333333333,2.065591118,2.666666667,2.338090389,-0.7004397181,-0.5379746297
lcl|c233774_g10_i1|m.19002,T1,1.5,0.5477225575,0.5,0.5477225575,-1.584962501,-0.8465324688
lcl|c167783_g1_i1|m.480,T1,1.166666667,1.329160136,0.5,0.8366600265,-1.222392421,-0.3637874272
lcl|c239561_g1_i2|m.25969,T1,1.333333333,0.8164965809,0.5,0.5477225575,-1.415037499,-0.59938186
lcl|c243633_g2_i1|m.31166,T1,2.5,0.8366600265,1.333333333,1.211060142,-0.9068905956,-0.6583894816
lcl|c236195_g2_i3|m.21822,T1,1.166666667,1.169045194,0.3333333333,0.5163977795,-1.807354922,-0.5163392533
lcl|c222319_g4_i3|m.8243,T1,1.833333333,1.169045194,1.166666667,0.9831920803,-0.6520766966,-0.3667236949
lcl|c221672_g4_i6|m.7784,T1,1.333333333,0.8164965809,0.6666666667,0.5163977795,-1,-0.4836941351
lcl|c217654_g5_i4|m.5303,T1,14.5,5.128352562,9.833333333,3.311595789,-0.5603004465,-1.012977012
lcl|c232241_g6_i3|m.17173,T1,0.8333333333,1.329160136,0.1666666667,0.4082482905,-2.321928095,-0.3966436618
lcl|c241874_g1_i7|m.29076,T1,6.833333333,2.714160398,4.666666667,2.804757862,-0.5501970826,-0.5942211915
lcl|c222155_g2_i2|m.8140,T1,1.333333333,2.422120283,0.6666666667,1.211060142,-1,-0.2653767327
lcl|c215450_g1_i1|m.4033,T1,13,5.830951895,8.666666667,2.338090389,-0.5849625007,-1.047035817
lcl|c225308_g1_i1|m.10501,T1,41.66666667,29.26886856,27.66666667,20.62684335,-0.5907448533,-0.6363607413
lcl|c224624_g2_i1|m.10023,T1,4.666666667,1.966384161,2.833333333,2.926886856,-0.7198920808,-0.5185566926
lcl|c224263_g3_i3|m.9691,T1,3.5,1.760681686,2,2.097617696,-0.8073549221,-0.5329559206
lcl|c221711_g1_i1|m.7807,T1,2.166666667,1.169045194,1.166666667,1.169045194,-0.8930847961,-0.5195413674
lcl|c229055_g1_i1|m.13922,T1,35.16666667,14.46950817,23.5,19.92736812,-0.5815478363,-0.5652259637
lcl|c230034_g1_i1|m.14877,T1,4.666666667,0.8164965809,3.166666667,1.940790217,-0.5594274086,-0.6455175568
lcl|c236822_g3_i10|m.22574,T1,10.33333333,5.680375574,7,2.28035085,-0.5618788876,-0.8191034019
lcl|c211957_g3_i2|m.2584,T1,1,1.264911064,0.3333333333,0.5163977795,-1.584962501,-0.3986595748
lcl|c176627_g1_i2|m.576,T1,0.6666666667,1.632993162,0.1666666667,0.4082482905,-2,-0.2698702759
lcl|c240901_g2_i12|m.27918,T1,1.5,0.8366600265,1,0.632455532,-0.5849625007,-0.347245663
lcl|c224520_g2_i1|m.9889,T1,1,1.264911064,0.6666666667,0.5163977795,-0.5849625007,-0.1993297874
lcl|c243724_g1_i1|m.31250,T1,1.833333333,1.602081979,1.333333333,0.8164965809,-0.4594316186,-0.2541370124
lcl|c222196_g3_i1|m.8162,T1,1.166666667,0.9831920803,0.5,0.5477225575,-1.222392421,-0.44283504
lcl|c227928_g3_i2|m.12899,T1,1.666666667,1.032795559,0.6666666667,0.8164965809,-1.321928095,-0.6049774179
lcl|c230771_g2_i1|m.15607,T1,6.833333333,2.994439291,4.666666667,3.669695719,-0.5501970826,-0.4912136184
lcl|c234579_g2_i6|m.20008,T1,6.666666667,2.160246899,4.333333333,3.386246693,-0.6214883767,-0.5872523639
lcl|c226505_g3_i2|m.11536,T1,3.833333333,0.9831920803,2.666666667,1.366260102,-0.5235619561,-0.5959015301
lcl|c215676_g2_i1|m.4150,T1,2.166666667,0.9831920803,1.5,0.5477225575,-0.5305147167,-0.44283504
lcl|c217427_g4_i1|m.5185,T1,2.833333333,1.471960144,1.833333333,0.9831920803,-0.6280312226,-0.5056837831
lcl|c239893_g3_i11|m.26489,T1,2.166666667,1.169045194,1,1.264911064,-1.115477217,-0.5879006625
lcl|c227852_g1_i7|m.12835,T1,2.166666667,0.9831920803,1.333333333,1.366260102,-0.7004397181,-0.4256439501
lcl|c229017_g1_i5|m.13881,T1,1.333333333,1.211060142,0.3333333333,0.8164965809,-2,-0.5689918203
lcl|c242362_g2_i1|m.29701,T1,2.666666667,1.032795559,1.833333333,0.9831920803,-0.5405683814,-0.4785592269
lcl|c222419_g1_i2|m.8314,T1,13.5,7.395944835,9.166666667,6.369196705,-0.5584902894,-0.5824112022
lcl|c239706_g1_i2|m.26224,T1,0.8333333333,1.329160136,0.3333333333,0.5163977795,-1.321928095,-0.2923533259
lcl|c228772_g4_i5|m.13636,T1,18.33333333,8.914407814,12.66666667,6.860515044,-0.5334322001,-0.7034292683
lcl|c233142_g2_i1|m.18198,T1,1,1.549193338,0.6666666667,0.8164965809,-0.5849625007,-0.1717881404
lcl|c223053_g2_i3|m.8836,T1,1.5,1.048808848,0.6666666667,0.8164965809,-1.169925001,-0.5012188497
lcl|c233425_g3_i4|m.18529,T1,5.666666667,1.966384161,3.833333333,1.940790217,-0.5639008852,-0.660711714
lcl|c229503_g1_i3|m.14339,T1,1.333333333,1.366260102,0.6666666667,0.8164965809,-1,-0.3615940042
lcl|c236527_g2_i1|m.22205,T1,27.5,13.39776101,19,10.65833008,-0.5334322001,-0.7173684918
lcl|c225172_g3_i1|m.10424,T1,19.83333333,15.31556942,13.33333333,12.92542714,-0.5728896684,-0.4622878
lcl|c231739_g1_i3|m.16580,T1,1.166666667,1.602081979,0.6666666667,0.8164965809,-0.8073549221,-0.2541370124
lcl|c233287_g2_i1|m.18368,T1,15.16666667,5.192943931,10.5,3.78153408,-0.5305147167,-0.9392525981
lcl|c237576_g2_i7|m.23440,T1,1.166666667,1.471960144,0.5,0.8366600265,-1.222392421,-0.3492402632
lcl|c229904_g1_i2|m.14752,T1,14.16666667,3.763863264,9.833333333,3.656045222,-0.5267478868,-0.9479975524
lcl|c231085_g3_i1|m.15955,T1,27.16666667,11.85608142,18.83333333,8.886319073,-0.5285491918,-0.8223909061
lcl|c244315_g1_i2|m.32024,T1,8.833333333,2.562550813,6.166666667,2.562550813,-0.5184670889,-0.7798815251
lcl|c220191_g1_i1|m.6799,T1,1.333333333,1.211060142,0.8333333333,0.7527726527,-0.6780719051,-0.2892161398
lcl|c233068_g2_i1|m.18098,T1,7.333333333,5.988878582,4.666666667,5.715476066,-0.6520766966,-0.3991031183
lcl|c231967_g1_i2|m.16842,T1,6.833333333,1.169045194,4.833333333,2.136976057,-0.4995710095,-0.7611246624
lcl|c220464_g2_i2|m.6955,T1,1,0.894427191,0.1666666667,0.4082482905,-2.584962501,-0.595919376
lcl|c222186_g2_i2|m.8151,T1,5.5,1.760681686,3.833333333,1.940790217,-0.5208321633,-0.6173673712
lcl|c211368_g3_i1|m.2426,T1,5.5,3.391164992,3.833333333,2.316606714,-0.5208321633,-0.4781658361
lcl|c239517_g6_i1|m.25917,T1,2.166666667,1.940790217,1.166666667,1.602081979,-0.8930847961,-0.3938031305
lcl|c226774_g3_i2|m.11777,T1,7.166666667,5.636192568,4.666666667,5.501514943,-0.6189098326,-0.3878928008
lcl|c216567_g2_i2|m.4643,T1,2.5,1.378404875,1.833333333,0.9831920803,-0.447458977,-0.3454891692
lcl|c232559_g1_i3|m.17522,T1,0.6666666667,1.211060142,0.5,0.5477225575,-0.4150374993,-0.1010171459
lcl|c240624_g2_i1|m.27495,T1,6.166666667,1.834847859,4.166666667,3.125166662,-0.5655971759,-0.545618568
lcl|c224672_g1_i1|m.10055,T1,5.833333333,3.188521078,4,2.529822128,-0.5443205162,-0.5128924084
lcl|c226079_g3_i1|m.11186,T1,4,0.894427191,2.666666667,2.732520204,-0.5849625007,-0.4382665249
lcl|c230386_g2_i2|m.15225,T1,3.166666667,2.786873995,2.333333333,2.065591118,-0.4405725914,-0.2656513666
lcl|c206194_g1_i1|m.1517,T1,1.333333333,0.8164965809,0.5,0.5477225575,-1.415037499,-0.59938186
lcl|c201793_g1_i1|m.1223,T1,1,0.894427191,0.1666666667,0.4082482905,-2.584962501,-0.595919376
lcl|c212652_g1_i3|m.2790,T1,1.666666667,1.211060142,0.8333333333,0.9831920803,-1,-0.4526855387
lcl|c215957_g2_i7|m.4321,T1,16.66666667,5.921711464,11.83333333,4.996665555,-0.4941090703,-0.7966422036
lcl|c230481_g5_i1|m.15356,T1,14,5.830951895,9.833333333,5.980523946,-0.5096743734,-0.6050186203
lcl|c221593_g3_i1|m.7753,T1,7,1.095445115,5,2.75680975,-0.4854268272,-0.6391737119
lcl|c231821_g3_i1|m.16651,T1,5.666666667,2.065591118,4,1.264911064,-0.5025003405,-0.6961881721
lcl|c241090_g1_i1|m.28152,T1,3.333333333,2.338090389,2.5,1.378404875,-0.4150374993,-0.3249614787
lcl|c210228_g3_i1|m.2141,T1,1.5,1.643167673,1,1.095445115,-0.5849625007,-0.236060943
lcl|c225236_g1_i2|m.10460,T1,6.166666667,1.329160136,4.5,1.516575089,-0.4545658635,-0.7484821744
lcl|c221482_g1_i3|m.7664,T1,2.333333333,1.505545305,1.5,0.8366600265,-0.6374299206,-0.4325815324
lcl|c227267_g3_i2|m.12289,T1,1.833333333,1.169045194,1.166666667,0.7527726527,-0.6520766966,-0.3911594559
lcl|c222353_g1_i1|m.8273,T1,1.166666667,1.329160136,0.8333333333,0.7527726527,-0.4854268272,-0.1856157247
lcl|c228830_g2_i1|m.13692,T1,2.166666667,2.401388487,1.333333333,1.966384161,-0.7004397181,-0.2830239189
lcl|c211676_g2_i2|m.2489,T1,0.6666666667,1.211060142,0,0,-2.736965594,-0.4283619508
lcl|c227683_g10_i1|m.12674,T1,0.8333333333,0.9831920803,0.1666666667,0.4082482905,-2.321928095,-0.4564656893
lcl|c209298_g1_i1|m.1944,T1,2.5,1.048808848,1.833333333,0.7527726527,-0.447458977,-0.4084307699
lcl|c244249_g2_i1|m.31932,T1,8.166666667,2.228601953,5.833333333,2.639444386,-0.4854268272,-0.6903513019
lcl|c227678_g2_i4|m.12667,T1,1,0.894427191,0.1666666667,0.4082482905,-2.584962501,-0.595919376
lcl|c216330_g2_i4|m.4540,T1,0.6666666667,1.211060142,0.1666666667,0.4082482905,-2,-0.3107576646
