Pfam ID	GO ID	GO description							
PF00128	GO:0005975	carbohydrate metabolic process							
PF00131	GO:0046872	metal ion binding							
PF00133	GO:0000166	nucleotide binding							
PF00133	GO:0004812	aminoacyl-tRNA ligase activity							
PF00133	GO:0005524	ATP binding							
PF00133	GO:0006418	tRNA aminoacylation for protein translation							
PF00136	GO:0000166	nucleotide binding							
PF00136	GO:0003677	DNA binding							
PF00137	GO:0015078	proton transmembrane transporter activity							
PF00137	GO:1902600	proton transmembrane transport							
PF00137	GO:0033177	proton-transporting two-sector ATPase complex, proton-transporting domain							
PF00139	GO:0030246	carbohydrate binding							
PF00140	GO:0003677	DNA binding							
PF00140	GO:0003700	DNA-binding transcription factor activity							
PF00140	GO:0016987	sigma factor activity							
PF00140	GO:0006352	DNA-templated transcription initiation							
PF00140	GO:0006355	regulation of DNA-templated transcription							
PF00141	GO:0004601	peroxidase activity							
PF00141	GO:0020037	heme binding							
PF00141	GO:0006979	response to oxidative stress							
PF00142	GO:0005524	ATP binding							
PF00142	GO:0016491	oxidoreductase activity							
PF00143	GO:0005126	cytokine receptor binding							
PF00143	GO:0006952	defense response							
PF00143	GO:0005576	extracellular region							
PF00145	GO:0008168	methyltransferase activity							
PF00146	GO:0016020	membrane							
PF00148	GO:0016491	oxidoreductase activity							
PF00149	GO:0016787	hydrolase activity							
PF00150	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds							
PF00150	GO:0000272	polysaccharide catabolic process							
PF00151	GO:0016298	lipase activity							
PF00152	GO:0000166	nucleotide binding							
PF00152	GO:0004812	aminoacyl-tRNA ligase activity							
PF00152	GO:0005524	ATP binding							
PF00152	GO:0006418	tRNA aminoacylation for protein translation							
PF00155	GO:0030170	pyridoxal phosphate binding							
PF00155	GO:0009058	biosynthetic process							
PF00157	GO:0003700	DNA-binding transcription factor activity							
PF00157	GO:0006355	regulation of DNA-templated transcription							
PF00158	GO:0005524	ATP binding							
PF00158	GO:0008134	transcription factor binding							
PF00158	GO:0006355	regulation of DNA-templated transcription							
PF00159	GO:0005179	hormone activity							
PF00159	GO:0005576	extracellular region							
PF00160	GO:0003755	peptidyl-prolyl cis-trans isomerase activity							
PF00160	GO:0000413	protein peptidyl-prolyl isomerization							
PF00161	GO:0030598	rRNA N-glycosylase activity							
PF00161	GO:0017148	negative regulation of translation							
PF00162	GO:0004618	phosphoglycerate kinase activity							
PF00162	GO:0006096	glycolytic process							
PF00163	GO:0019843	rRNA binding							
PF00164	GO:0003735	structural constituent of ribosome							
PF00164	GO:0006412	translation							
PF00164	GO:0005840	ribosome							
PF00165	GO:0003700	DNA-binding transcription factor activity							
PF00165	GO:0043565	sequence-specific DNA binding							
PF00165	GO:0006355	regulation of DNA-templated transcription							
PF00166	GO:0005524	ATP binding							
PF00166	GO:0044183	protein folding chaperone							
PF00166	GO:0006457	protein folding							
PF00167	GO:0008083	growth factor activity							
PF00170	GO:0003700	DNA-binding transcription factor activity							
PF00170	GO:0006355	regulation of DNA-templated transcription							
PF00171	GO:0016491	oxidoreductase activity							
