experiment_id	genome_accession	cohort	timepoint	sample	sequence_id	sequence_type	count	tpm	effective_length	weighted_physical_length
EXP_PM34593802	x_pseudodiploria_clivosa	treatment	0	A	pseudodiploria_host_TRINITY_DN178043_c0_g1	gene	956.0	3.425878	4031.9267371091437	4138.726386637235
EXP_PM34593802	x_pseudodiploria_clivosa	treatment	0	B	pseudodiploria_host_TRINITY_DN178043_c0_g1	gene	1553.0	4.659018	4024.9392058553976	4152.784139490339
EXP_PM34593802	x_pseudodiploria_clivosa	treatment	0	C	pseudodiploria_host_TRINITY_DN178043_c0_g1	gene	2537.0	5.1990549999999995	3998.6457094798966	4154.445129932267
EXP_PM34593802	x_pseudodiploria_clivosa	control	0	A	pseudodiploria_host_TRINITY_DN187230_c1_g2	gene	1371.0	13.907277999999998	689.5208423500271	983.8252667416298
EXP_PM34593802	x_pseudodiploria_clivosa	control	0	B	pseudodiploria_host_TRINITY_DN187230_c1_g2	gene	716.0	5.632261	1343.7984884088291	1523.8885112035825
EXP_PM34593802	x_pseudodiploria_clivosa	control	0	C	pseudodiploria_host_TRINITY_DN187230_c1_g2	gene	646.0	8.988632	761.3266149804552	1058.3460887040433
EXP_PM34593802	x_pseudodiploria_clivosa	treatment	0	A	pseudodiploria_host_TRINITY_DN187230_c1_g2	gene	1130.0	27.080508	602.910886643744	870.7944202154554
EXP_PM34593802	x_pseudodiploria_clivosa	treatment	0	B	pseudodiploria_host_TRINITY_DN187230_c1_g2	gene	1784.0	16.760250999999997	1285.0532340840243	1435.191691938265
EXP_PM34593802	x_pseudodiploria_clivosa	treatment	0	C	pseudodiploria_host_TRINITY_DN187230_c1_g2	gene	2790.0	31.621903	722.8683453768737	951.3572086411118
EXP_PM34593802	x_pseudodiploria_clivosa	control	0	A	pseudodiploria_host_TRINITY_DN189231_c0_g2	gene	1522.0	10.455551	1017.7820411326959	1245.2800040858679
EXP_PM34593802	x_pseudodiploria_clivosa	control	0	B	pseudodiploria_host_TRINITY_DN189231_c0_g2	gene	664.0	7.289592	962.7627737644303	1199.8332190608196
EXP_PM34593802	x_pseudodiploria_clivosa	control	0	C	pseudodiploria_host_TRINITY_DN189231_c0_g2	gene	723.0	6.490127000000001	1180.2242663279158	1413.8386213397673
EXP_PM34593802	x_pseudodiploria_clivosa	treatment	0	A	pseudodiploria_host_TRINITY_DN189231_c0_g2	gene	1613.0	27.417762999999997	849.8599533552757	1093.922878208554
EXP_PM34593802	x_pseudodiploria_clivosa	treatment	0	B	pseudodiploria_host_TRINITY_DN189231_c0_g2	gene	2185.0	28.547680999999997	923.970612780877	1160.4166879264205
EXP_PM34593802	x_pseudodiploria_clivosa	treatment	0	C	pseudodiploria_host_TRINITY_DN189231_c0_g2	gene	3588.0	26.850319	1094.8236653716854	1333.2747110751272
EXP_PM34593802	x_pseudodiploria_clivosa	control	0	A	pseudodiploria_host_TRINITY_DN190911_c0_g2	gene	21714.0	59.17889099999999	2565.789633859006	2736.822194589621
EXP_PM34593802	x_pseudodiploria_clivosa	control	0	B	pseudodiploria_host_TRINITY_DN190911_c0_g2	gene	10867.0	48.344491	2375.9946735844424	2587.9540160015335
EXP_PM34593802	x_pseudodiploria_clivosa	control	0	C	pseudodiploria_host_TRINITY_DN190911_c0_g2	gene	13159.0	55.173676	2527.3849998871015	2729.5948316729887
EXP_PM34593802	x_pseudodiploria_clivosa	treatment	0	A	pseudodiploria_host_TRINITY_DN190911_c0_g2	gene	17399.0	92.48273499999999	2718.20466935381	2893.7748491434645
EXP_PM34593802	x_pseudodiploria_clivosa	treatment	0	B	pseudodiploria_host_TRINITY_DN190911_c0_g2	gene	18537.0	91.408986	2448.535566022929	2635.126896342554
EXP_PM34593802	x_pseudodiploria_clivosa	treatment	0	C	pseudodiploria_host_TRINITY_DN190911_c0_g2	gene	35314.0	107.816215	2683.521045685614	2884.1688155904935
EXP_PM34593802	x_pseudodiploria_clivosa	control	0	A	pseudodiploria_host_TRINITY_DN190911_c0_g2	gene	21714.0	59.17889099999999	2565.789633859006	2736.822194589621
EXP_PM34593802	x_pseudodiploria_clivosa	control	0	B	pseudodiploria_host_TRINITY_DN190911_c0_g2	gene	10867.0	48.344491	2375.9946735844424	2587.9540160015335
EXP_PM34593802	x_pseudodiploria_clivosa	control	0	C	pseudodiploria_host_TRINITY_DN190911_c0_g2	gene	13159.0	55.173676	2527.3849998871015	2729.5948316729887
EXP_PM34593802	x_pseudodiploria_clivosa	treatment	0	A	pseudodiploria_host_TRINITY_DN190911_c0_g2	gene	17399.0	92.48273499999999	2718.20466935381	2893.7748491434645
EXP_PM34593802	x_pseudodiploria_clivosa	treatment	0	B	pseudodiploria_host_TRINITY_DN190911_c0_g2	gene	18537.0	91.408986	2448.535566022929	2635.126896342554
EXP_PM34593802	x_pseudodiploria_clivosa	treatment	0	C	pseudodiploria_host_TRINITY_DN190911_c0_g2	gene	35314.0	107.816215	2683.521045685614	2884.1688155904935
EXP_PM34593802	x_pseudodiploria_clivosa	control	0	A	pseudodiploria_host_TRINITY_DN200187_c2_g4	gene	4274.0	30.970319	965.0881534254135	1334.5269833029488
EXP_PM34593802	x_pseudodiploria_clivosa	control	0	B	pseudodiploria_host_TRINITY_DN200187_c2_g4	gene	1931.0	22.914871999999995	890.9534338963798	1331.3114462520236
EXP_PM34593802	x_pseudodiploria_clivosa	control	0	C	pseudodiploria_host_TRINITY_DN200187_c2_g4	gene	2456.0	23.688753	1098.5323227270342	1476.3400549619475
EXP_PM34593802	x_pseudodiploria_clivosa	treatment	0	A	pseudodiploria_host_TRINITY_DN200187_c2_g4	gene	4723.0	75.7319	901.1432661261504	1312.2890218916993
EXP_PM34593802	x_pseudodiploria_clivosa	treatment	0	B	pseudodiploria_host_TRINITY_DN200187_c2_g4	gene	4259.0	52.941917000000004	971.4588431520149	1355.0282302206774
EXP_PM34593802	x_pseudodiploria_clivosa	treatment	0	C	pseudodiploria_host_TRINITY_DN200187_c2_g4	gene	7560.0	52.353261999999994	1183.1048908411285	1524.2532793276566
EXP_PM34593802	x_pseudodiploria_clivosa	control	0	A	pseudodiploria_host_TRINITY_DN202411_c1_g2	gene	4685.0	17.141104000000002	1911.1171980636716	2121.0809134580827
EXP_PM34593802	x_pseudodiploria_clivosa	control	0	B	pseudodiploria_host_TRINITY_DN202411_c1_g2	gene	1976.0	13.309088000000001	1569.7311634056368	1805.077330768269
EXP_PM34593802	x_pseudodiploria_clivosa	control	0	C	pseudodiploria_host_TRINITY_DN202411_c1_g2	gene	2397.0	9.288523000000001	2735.2859561711794	2894.9737611674104
EXP_PM34593802	x_pseudodiploria_clivosa	treatment	0	A	pseudodiploria_host_TRINITY_DN202411_c1_g2	gene	4564.0	34.440543	1914.6506531735577	2151.432651424805
EXP_PM34593802	x_pseudodiploria_clivosa	treatment	0	B	pseudodiploria_host_TRINITY_DN202411_c1_g2	gene	4743.0	38.35402	1493.0518906439795	1761.9003999320018
EXP_PM34593802	x_pseudodiploria_clivosa	treatment	0	C	pseudodiploria_host_TRINITY_DN202411_c1_g2	gene	7918.0	24.660708	2630.6771542394486	2843.423189309893
EXP_PM34593802	x_siderastrea_radians	control	0	A	siderastrea_host_TRINITY_DN442751_c0_g3	gene	165.0	1.680779	924.7973437090778	1157.6990919091681
EXP_PM34593802	x_siderastrea_radians	control	0	B	siderastrea_host_TRINITY_DN442751_c0_g3	gene	237.0	2.8760689999999998	729.891200522658	1001.1292090002013
EXP_PM34593802	x_siderastrea_radians	control	0	C	siderastrea_host_TRINITY_DN442751_c0_g3	gene	201.0	2.371415	679.8056108770502	950.056268936479
EXP_PM34593802	x_siderastrea_radians	treatment	0	A	siderastrea_host_TRINITY_DN442751_c0_g3	gene	122.0	2.574555	822.6866448411473	966.1855322570308
EXP_PM34593802	x_siderastrea_radians	treatment	0	B	siderastrea_host_TRINITY_DN442751_c0_g3	gene	257.0	2.211718	769.8695951834728	970.9343085330047
EXP_PM34593802	x_siderastrea_radians	treatment	0	C	siderastrea_host_TRINITY_DN442751_c0_g3	gene	355.0	3.963953	675.3865457912847	901.7306612868518
EXP_PM34593802	x_siderastrea_radians	control	0	A	siderastrea_host_TRINITY_DN444826_c1_g4	gene	584.0	4.181967	1316.8225683033845	1629.202754828051
EXP_PM34593802	x_siderastrea_radians	control	0	B	siderastrea_host_TRINITY_DN444826_c1_g4	gene	526.0	3.6407599999999998	1279.654052295949	1592.893462354014
EXP_PM34593802	x_siderastrea_radians	control	0	C	siderastrea_host_TRINITY_DN444826_c1_g4	gene	435.0	2.5864450000000003	1347.7898730342226	1665.583921173657
EXP_PM34593802	x_siderastrea_radians	treatment	0	A	siderastrea_host_TRINITY_DN444826_c1_g4	gene	189.0	2.649744	1239.320393832008	1614.7298289948012
EXP_PM34593802	x_siderastrea_radians	treatment	0	B	siderastrea_host_TRINITY_DN444826_c1_g4	gene	615.0	3.068372	1328.1274459723268	1643.09782353639
EXP_PM34593802	x_siderastrea_radians	treatment	0	C	siderastrea_host_TRINITY_DN444826_c1_g4	gene	515.0	3.0020169999999995	1294.1045564172357	1637.597705142909
EXP_PM34593802	x_siderastrea_radians	control	0	A	siderastrea_host_TRINITY_DN450483_c1_g1	gene	704.0	7.77084	854.1377325441008	1174.4794705591673
EXP_PM34593802	x_siderastrea_radians	control	0	B	siderastrea_host_TRINITY_DN450483_c1_g1	gene	684.0	7.6782580000000005	789.0460326637892	1119.0445490370341
EXP_PM34593802	x_siderastrea_radians	control	0	C	siderastrea_host_TRINITY_DN450483_c1_g1	gene	1014.0	9.391606999999999	866.0285480639255	1209.169825249289
EXP_PM34593802	x_siderastrea_radians	treatment	0	A	siderastrea_host_TRINITY_DN450483_c1_g1	gene	494.0	10.049301000000002	853.408061738921	1207.6195344332903
EXP_PM34593802	x_siderastrea_radians	treatment	0	B	siderastrea_host_TRINITY_DN450483_c1_g1	gene	965.0	7.498785999999999	852.790632791228	1176.4771969756173
EXP_PM34593802	x_siderastrea_radians	treatment	0	C	siderastrea_host_TRINITY_DN450483_c1_g1	gene	1266.0	11.550124	826.4145571780875	1146.8469173144808
EXP_PM34593802	x_siderastrea_radians	control	0	A	siderastrea_host_TRINITY_DN451935_c2_g2	gene	7120.0	51.532414	1302.836929502507	1573.6770462761554
EXP_PM34593802	x_siderastrea_radians	control	0	B	siderastrea_host_TRINITY_DN451935_c2_g2	gene	8169.0	44.59006600000001	1622.7785422909217	1904.1048522108038
EXP_PM34593802	x_siderastrea_radians	control	0	C	siderastrea_host_TRINITY_DN451935_c2_g2	gene	7151.0	36.395239	1575.9105580410944	1857.7332926430292
EXP_PM34593802	x_siderastrea_radians	treatment	0	A	siderastrea_host_TRINITY_DN451935_c2_g2	gene	3878.0	43.365339	1552.6750878850733	1940.6811770340364
EXP_PM34593802	x_siderastrea_radians	treatment	0	B	siderastrea_host_TRINITY_DN451935_c2_g2	gene	15314.0	67.183757	1510.2187464475676	1795.8915920555025
EXP_PM34593802	x_siderastrea_radians	treatment	0	C	siderastrea_host_TRINITY_DN451935_c2_g2	gene	11615.0	54.183055	1616.556227086457	1960.7106189748802
EXP_PM34593802	x_siderastrea_radians	control	0	A	siderastrea_host_TRINITY_DN453364_c1_g2	gene	939.0	7.5154	1178.1786330909865	1473.4282670250418
EXP_PM34593802	x_siderastrea_radians	control	0	B	siderastrea_host_TRINITY_DN453364_c1_g2	gene	731.0	4.8362490000000005	1338.806328036873	1655.6455966183707
EXP_PM34593802	x_siderastrea_radians	control	0	C	siderastrea_host_TRINITY_DN453364_c1_g2	gene	1143.0	6.588145	1391.369993785504	1708.4419849593473
EXP_PM34593802	x_siderastrea_radians	treatment	0	A	siderastrea_host_TRINITY_DN453364_c1_g2	gene	530.0	8.522552000000001	1079.5901421255041	1431.4216643090003
EXP_PM34593802	x_siderastrea_radians	treatment	0	B	siderastrea_host_TRINITY_DN453364_c1_g2	gene	1302.0	6.819845	1265.3051243434418	1581.1193977282476
EXP_PM34593802	x_siderastrea_radians	treatment	0	C	siderastrea_host_TRINITY_DN453364_c1_g2	gene	1635.0	9.900887	1245.7240006992304	1574.8964129173476
EXP_PM32426508	x_a_tenuis	WT1	0	27_50.9	a_tenuis_TRINITY_DN17808_c1_g1	gene	2510.0	16.772987	1465.373	1535.0
EXP_PM32426508	x_a_tenuis	WT1	0	27_50.8	a_tenuis_TRINITY_DN17808_c1_g1	gene	2506.0	15.735418	1486.322	1535.0
EXP_PM32426508	x_a_tenuis	WT1	0	27_50.7	a_tenuis_TRINITY_DN17808_c1_g1	gene	1997.0	13.399946	1491.093	1535.0
EXP_PM32426508	x_a_tenuis	WT1	0	27_50.6	a_tenuis_TRINITY_DN17808_c1_g1	gene	2512.0	17.217414	1484.713	1535.0
EXP_PM32426508	x_a_tenuis	WT1	0	27_50.5	a_tenuis_TRINITY_DN17808_c1_g1	gene	2026.0	13.555861	1478.967	1535.0
EXP_PM32426508	x_a_tenuis	WT1	0	27_50.1	a_tenuis_TRINITY_DN17808_c1_g1	gene	2058.0	15.42473	1473.429	1535.0
EXP_PM32426508	x_a_tenuis	SS8	0	27_40.9	a_tenuis_TRINITY_DN17808_c1_g1	gene	2086.0	13.219548	1482.681	1535.0
